queue_tier,japanese,best_file,best_offset_hex,best_byte_len,best_confidence,best_terminator,occurrence_count,scanner_priorities,anchors,all_exact_refs,vi_full,translation_status
REVIEW-MEDIUM,/P00メグメグ/PF0,SLPS_020.75,0x2524,16,MEDIUM,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x2524,/P00Megumegu/PF0,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/P00ヤスツナ/PF0,SLPS_020.75,0x24c4,16,MEDIUM,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x24c4,/P00Yasutsuna/PF0,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/PF0ベリアル/PF0,SLPS_020.75,0x24a0,16,MEDIUM,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x24a0,/PF0Belial/PF0,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/V%d位の%sさんは,PRGPACK.BDP,0x14c0d8,18,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14c0d8,"/VHạng %d, %s...",TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,通行税　　＋%2d％,PRGPACK.BDP,0x67a88,20,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x67a88,Phí qua đường  +%2d%,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,通行税　　－%2d％,PRGPACK.BDP,0x67a9c,20,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x67a9c,Phí qua đường  -%2d%,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,（１）ポイント %d,PRGPACK.BDP,0x95654,18,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x95654,(1) Điểm %d,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,%4dゼニー      %3d,SLPS_020.75,0x3778,18,MEDIUM,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x3778,%4d Zenny      %3d,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/P00ガラハッド/PF0,SLPS_020.75,0x24e8,18,MEDIUM,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x24e8,/P00Galahad/PF0,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/P00ゴライアス/PF0,SLPS_020.75,0x2510,18,MEDIUM,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x2510,/P00Goliath/PF0,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/P00シンバッド/PF0,SLPS_020.75,0x255c,18,MEDIUM,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x255c,/P00Sinbad/PF0,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,「死」よ！,PRGPACK.BDP,0x108c0c,10,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x108c0c,Hỡi “Cái Chết”!,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,ひ～っ！！,PRGPACK.BDP,0x1070c4,10,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x1070c4,Ááá!!,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,ＯＫ　　　：○ボタン,PRGPACK.BDP,0x1444c8,20,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x1444c8,OK      : Nút ○,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/Vあら、%d人いるわ！？,PRGPACK.BDP,0x14bfc4,22,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14bfc4,"/VƠ, có %d người sao!?",TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,強さ：★★★,PRGPACK.BDP,0x902b0,12,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x902b0,Độ mạnh: ★★★,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/P30勝利条件/PF0,PRGPACK.BDP,0xc0028,18,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xc0028,/P30Điều Kiện Thắng/PF0,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/P30敗北条件/PF0,PRGPACK.BDP,0xc0044,18,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xc0044,/P30Điều Kiện Thua/PF0,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,アガート        ＯＰ／ＥＤ,PRGPACK.BDP,0x107554,24,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x107554,Agato        OP/ED,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,ジガー          ＯＰ／ＥＤ,PRGPACK.BDP,0x107500,24,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x107500,Jiger          OP/ED,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,ダンテ          ＯＰ／ＥＤ,PRGPACK.BDP,0x107618,24,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x107618,Dante          OP/ED,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,ティアラ        ＯＰ／ＥＤ,PRGPACK.BDP,0x1075c4,24,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x1075c4,Tiara        OP/ED,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,ハヤテ          ＯＰ／ＥＤ,PRGPACK.BDP,0x107538,24,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x107538,Hayate          OP/ED,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,メグメグ        ＯＰ／ＥＤ,PRGPACK.BDP,0x107570,24,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x107570,Megumegu        OP/ED,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,ヤスツナ        ＯＰ／ＥＤ,PRGPACK.BDP,0x1075e0,24,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x1075e0,Yasutsuna        OP/ED,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,孫悟空          ＯＰ／ＥＤ,PRGPACK.BDP,0x1075fc,24,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x1075fc,Tôn Ngộ Không          OP/ED,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/P90スーパータイプ/PF0,PRGPACK.BDP,0x8fef4,24,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8fef4,/P90Kiểu Siêu Cấp/PF0,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/P90初心者向け/PF0,PRGPACK.BDP,0x90404,20,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x90404,/P90Dành Cho Người Mới/PF0,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,/P90戦闘タイプ/PF0,PRGPACK.BDP,0x90360,20,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x90360,/P90Kiểu Chiến Đấu/PF0,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,堀口　比呂志（ＴＷＯ－ＦＩＶＥ）,PRGPACK.BDP,0x109450,32,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x109450,堀口　比呂志（ＴＷＯ－ＦＩＶＥ）,KEEP_PROPER_NAME_MEDIUM_BATCH16
REVIEW-MEDIUM,１人とＣＯＭ１人  　　　２人,PRGPACK.BDP,0xbfad4,26,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbfad4,1 người + 1 COM        2 người,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,１人とＣＯＭ２人  ２人とＣＯＭ１人,PRGPACK.BDP,0xbfaf8,34,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbfaf8,1 người + 2 COM  2 người + 1 COM,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,１人とＣＯＭ３人  ２人とＣＯＭ２人,PRGPACK.BDP,0xbfb28,34,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbfb28,1 người + 3 COM  2 người + 2 COM,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,３人とＣＯＭ１人  　　　４人,PRGPACK.BDP,0xbfb4c,26,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbfb4c,3 người + 1 COM        4 người,TRANSLATED_SOURCE_MEDIUM_BATCH16
REVIEW-MEDIUM,ＤＥＦさし,PRGPACK.BDP,0x17613e,10,MEDIUM,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x17613e,,KEEP_SYSTEM_INPUT_TABLE_FRAGMENT_MEDIUM_BATCH16
