queue_tier,japanese,best_file,best_offset_hex,best_byte_len,best_confidence,best_terminator,occurrence_count,scanner_priorities,anchors,all_exact_refs,vi_full,translation_status
HIGH-FIRST,%sを捨てるね？,PRGPACK.BDP,0x68040,14,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x68040,Bỏ %s nhé?,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,d2まどわしの玉,SLPS_020.75,0x1cea,14,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1cea,Ngọc Mê Hoặc,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,d2魔剣ムラマサ,SLPS_020.75,0x1d04,14,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1d04,Ma Kiếm Muramasa,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,dﾈいちかばちか,SLPS_020.75,0x1f5a,14,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1f5a,Liều Một Phen,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,この幸せ者ー！,PRGPACK.BDP,0xb41c8,14,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xb41c8,Đúng là đồ may mắn!,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,何人で遊ぶの？,PRGPACK.BDP,0xbfa4c,14,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbfa4c,Chơi mấy người?,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,足りないみたい,PRGPACK.BDP,0x144374,14,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x144374,Có vẻ không đủ.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,$ブラッドスピア,SLPS_020.75,0x1dd5,15,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1dd5,Huyết Thương,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,*スノーストーム,SLPS_020.75,0x1def,15,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1def,Bão Tuyết,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,0アースクエイク,SLPS_020.75,0x1cb7,15,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1cb7,Động Đất,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,ﾈメテオフォール,SLPS_020.75,0x1d39,15,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1d39,Mưa Thiên Thạch,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,d2ブラッドスピア,SLPS_020.75,0x1c34,16,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1c34,Huyết Thương,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,d<ストームソード,SLPS_020.75,0x1c9c,16,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1c9c,Kiếm Bão Tố,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,dﾈエクスカリバー,SLPS_020.75,0x1d6c,16,HIGH,NUL,1,UNSEEN-JAPANESE,,SLPS_020.75+0x1d6c,Excalibur,TRANSLATED_SOURCE_BATCH09_PREFIXED_ITEM
HIGH-FIRST,いいえ：×ボタン,PRGPACK.BDP,0x68064,16,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x68064,Không: nút ×,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,お金足りないわよ,PRGPACK.BDP,0x67d28,16,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x67d28,Không đủ tiền đâu.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,さて、３位は！！,PRGPACK.BDP,0x14bec8,16,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14bec8,"Nào, hạng 3 là!!",TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,はい　：○ボタン,PRGPACK.BDP,0x68050,16,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x68050,Có: nút ○,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,まず１人目は！？,PRGPACK.BDP,0x14bf38,16,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14bf38,Người đầu tiên là!?,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,土地を決めたら、,PRGPACK.BDP,0x67c50,16,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x67c50,"Sau khi chọn đất,",TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,負けチームでーす,PRGPACK.BDP,0x14bf4c,16,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14bf4c,Đội thua đây!,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,○ボタンをおすのよ,PRGPACK.BDP,0x144484,18,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x144484,Nhấn nút ○ nhé.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,さいごの１人は！！,PRGPACK.BDP,0x14bf0c,18,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14bf0c,Người cuối cùng là!!,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,そして、２位は！！,PRGPACK.BDP,0x14bedc,18,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14bedc,Và hạng 2 là!!,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,何枚こうかんする？,PRGPACK.BDP,0x1443dc,18,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x1443dc,Đổi bao nhiêu lá?,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,ぐぬぬぬぬぅ～ ！！,PRGPACK.BDP,0x68b88,19,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x68b88,Gừừừừ～!!,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,さあ、決断の時よ！！,PRGPACK.BDP,0xbf328,20,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbf328,"Nào, đến lúc quyết định rồi!!",TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,ほかの人をえらんでね,PRGPACK.BDP,0x144430,20,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x144430,Hãy chọn người khác.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,やりなおす：×ボタン,PRGPACK.BDP,0x1444e0,20,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x1444e0,Làm lại: nút ×,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,ハサンしちゃったぁ…,PRGPACK.BDP,0x67dd0,20,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x67dd0,Phá sản mất rồi…,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,購入しない：×ボタン,PRGPACK.BDP,0x676d4,20,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x676d4,Không mua: nút ×,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,購入する　：○ボタン,PRGPACK.BDP,0x676bc,20,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x676bc,Mua: nút ○,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,ＣＯＭは何人入れる？,PRGPACK.BDP,0xbfabc,20,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbfabc,Thêm bao nhiêu COM?,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,%sが使うコントローラの,PRGPACK.BDP,0x30640,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x30640,Tay cầm mà %s sử dụng…,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,ある,PRGPACK.BDP,0x8ff5c,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8ff5c,,NEEDS_CONTEXT_REVIEW_BATCH09
HIGH-FIRST,ての武器が２倍のダメー,PRGPACK.BDP,0x8fe1c,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8fe1c,…vũ khí gây sát thương gấp đôi…,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,とにかく強い！,PRGPACK.BDP,0x8fdec,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8fdec,Nói chung là rất mạnh!,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,なかなか破産しないから,PRGPACK.BDP,0x8fff4,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8fff4,"Vì rất khó phá sản,",TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,められない,PRGPACK.BDP,0x8fe64,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8fe64,…không thể ngăn lại.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,れば自然とトップに！？,PRGPACK.BDP,0x8ffc4,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8ffc4,…thì tự nhiên sẽ lên dẫn đầu!?,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,ジになったりする,PRGPACK.BDP,0x8fe04,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8fe04,,NEEDS_CONTEXT_REVIEW_BATCH09
HIGH-FIRST,ス４個の神ワザがでる！,PRGPACK.BDP,0x8feac,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8feac,…tuyệt kỹ 4 xúc xắc sẽ xuất hiện!,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,ルを破壊できたり、すべ,PRGPACK.BDP,0x8fe34,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8fe34,,NEEDS_CONTEXT_REVIEW_BATCH09
HIGH-FIRST,土地をぶんどるのが戦法,PRGPACK.BDP,0x8ff44,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8ff44,Chiến thuật là cướp đất.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,得意武器：無し,PRGPACK.BDP,0x8fedc,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8fedc,Vũ khí sở trường: Không,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,撃力が２倍になることが,PRGPACK.BDP,0x8ff74,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8ff74,…sức tấn công có lúc tăng gấp đôi.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,攻撃力２倍も出やすく、,PRGPACK.BDP,0x8fe94,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8fe94,"Hiệu ứng sức công x2 cũng dễ xuất hiện,",TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,暴れ出したらだれにも止,PRGPACK.BDP,0x8fe7c,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8fe7c,Một khi nổi điên thì không ai ngăn…,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,特性：ノってくればダイ,PRGPACK.BDP,0x8fec4,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8fec4,"Đặc tính: khi vào guồng, xúc xắc…",TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,特性：剣で攻撃すると攻,PRGPACK.BDP,0x8ff8c,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8ff8c,"Đặc tính: khi tấn công bằng kiếm, sức công…",TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,特性：気が向けばシンボ,PRGPACK.BDP,0x8fe4c,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8fe4c,,NEEDS_CONTEXT_REVIEW_BATCH09
HIGH-FIRST,目立たないようにしてい,PRGPACK.BDP,0x8ffdc,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8ffdc,Cố đừng gây chú ý…,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,闘いをさけてはダメ！,PRGPACK.BDP,0x8ff2c,22,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x8ff2c,Không được né tránh chiến đấu!,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,/V%dゼニーひろったよ！/v,PRGPACK.BDP,0xb3cd8,24,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xb3cd8,/VNhặt được %d Zenny!/v,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,さあ、今回の優勝者は！？,PRGPACK.BDP,0x14bef0,24,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14bef0,"Nào, người chiến thắng lần này là!?",TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,奪いにいく土地を決めて！,PRGPACK.BDP,0xbf2f0,24,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbf2f0,Chọn mảnh đất muốn cướp!,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,/V%dゼニー落としたわよ！/v,PRGPACK.BDP,0xb37e4,26,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xb37e4,/VLàm rơi %d Zenny!/v,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,でも、そんな土地ないみたい,PRGPACK.BDP,0xbf30c,26,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xbf30c,Nhưng hình như không có mảnh đất như vậy.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,でも、みんなカードの枚数が,PRGPACK.BDP,0x144358,26,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x144358,Nhưng số thẻ của mọi người…,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,カードにカーソルを合わせて,PRGPACK.BDP,0x144468,26,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x144468,Đưa con trỏ tới lá bài…,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,%dゼニーだけど、ここを買う？,PRGPACK.BDP,0x6769c,28,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x6769c,"Giá %d Zenny, mua chỗ này không?",TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,さあ、今回の優勝チームは！？,PRGPACK.BDP,0x14bf60,28,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14bf60,"Nào, đội chiến thắng lần này là!?",TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,それじゃあ、最下位の人は？？,PRGPACK.BDP,0x14bea8,28,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x14bea8,Vậy người xếp cuối là??,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,わたすカードを%s枚えらんでね,PRGPACK.BDP,0x144498,28,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x144498,Hãy chọn %s lá để đưa.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,ステキ！！なんてついてるの！,PRGPACK.BDP,0xb4188,28,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xb4188,Tuyệt quá!! May mắn thật!,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,欲しいカードを%s枚えらんでね,PRGPACK.BDP,0x144448,28,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x144448,Hãy chọn %s lá muốn lấy.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,武器カードの枚数が足りないよ,PRGPACK.BDP,0x144410,28,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x144410,Không đủ số thẻ vũ khí.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,/V%dゼニーも手に入ったよ！！/v,PRGPACK.BDP,0xb41a8,30,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0xb41a8,/VCòn nhận được %d Zenny nữa!!/v,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,なに ちんたら 歩いてるんだい？,PRGPACK.BDP,0x68868,30,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x68868,Sao còn lề mề đi bộ thế?,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,こんなトコまで飛ばされちゃって…,PRGPACK.BDP,0x678b0,32,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x678b0,Bị thổi bay tới tận đây…,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,はい：○ボタン　いいえ：×ボタン,PRGPACK.BDP,0x678fc,32,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x678fc,Có: nút ○  Không: nút ×,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,あいてをえらんで○ボタンをおしてね,PRGPACK.BDP,0x144384,34,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x144384,Chọn đối phương rồi nhấn ○ nhé.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
HIGH-FIRST,でも、カードの枚数が足りないみたい,PRGPACK.BDP,0x144334,34,HIGH,NUL,1,UNSEEN-JAPANESE,,PRGPACK.BDP+0x144334,Nhưng có vẻ không đủ số thẻ.,TRANSLATED_SOURCE_BATCH09_CLEAN_ISLAND
