file,offset_hex,japanese,vi_source_previous,vi_full_reviewed,status,note
SLPS_020.75,0x203c,幸運,May mắn,May Mắn,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x2050,大幸運,Đại may mắn,Đại May Mắn,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x2064,盗賊の援助,Đạo tặc trợ giúp,Viện Trợ Của Đạo Tặc,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x2078,魔法使いの援助,Pháp sư trợ giúp,Viện Trợ Của Pháp Sư,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x208c,ＧＯマスおくり,Đưa tới ô GO,Đưa Đến Ô GO,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x20a0,ワープ,Dịch chuyển,Dịch Chuyển,SOURCE_REVIEWED,"Tên event/hiệu ứng"
SLPS_020.75,0x20b4,大国の混乱,Đại quốc hỗn loạn,Hỗn Loạn Đại Quốc,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x20c8,領主からの使者,Sứ giả lãnh chúa,Sứ Giả Của Lãnh Chúa,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x20dc,小領主の協力,Tiểu lãnh chúa hỗ trợ,Sự Hợp Tác Của Tiểu Lãnh Chúa,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x20f0,大領主の協力,Đại lãnh chúa hỗ trợ,Sự Hợp Tác Của Đại Lãnh Chúa,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x2104,じしん,Động đất,Động Đất,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x2118,落雷,Sét đánh,Sét Đánh,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x212c,大国からの使者,Sứ giả đại quốc,Sứ Giả Từ Đại Quốc,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x2140,大国からの使者,Sứ giả đại quốc,Sứ Giả Từ Đại Quốc,SOURCE_REVIEWED,"Nguồn lặp"
SLPS_020.75,0x2154,大国の援助,Đại quốc viện trợ,Viện Trợ Đại Quốc,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x2168,領地購入,Mua lãnh địa,Mua Lãnh Địa,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x217c,魔王のこうりん,Ma vương giáng lâm,Ma Vương Giáng Lâm,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x2190,魔王しょうかん,Triệu hồi Ma vương,Triệu Hồi Ma Vương,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x21a4,魔王のきょうふ,Nỗi sợ Ma vương,Nỗi Khiếp Sợ Ma Vương,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x21b8,魔王の気まぐれ,Ma vương thất thường,Sự Thất Thường Của Ma Vương,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x21cc,魔王のゆうわく,Ma vương cám dỗ,Sự Cám Dỗ Của Ma Vương,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x21e0,お店破壊,Phá cửa hàng,Phá Cửa Hàng,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x21f4,ルート変更,Đổi tuyến đường,Đổi Tuyến Đường,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x2208,時の神のいたず,Trò đùa của thần thời gian,Trò Nghịch Của Thần Thời...,SOURCE_REVIEWED_FRAGMENT,"Nguồn Nhật kết thúc ở いたず; không tự bổ sung phần bị thiếu"
SLPS_020.75,0x221c,運の神の休息,Thần may mắn nghỉ ngơi,Thần Vận Nghỉ Ngơi,SOURCE_REVIEWED,"Tên event; đồng bộ glossary fantasy"
SLPS_020.75,0x2230,ふみたおし,Quỵt tiền,Quỵt Nợ,SOURCE_REVIEWED,"Tên event/card"
SLPS_020.75,0x2244,バトルカード,Thẻ chiến đấu,Thẻ Chiến Đấu,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x2258,地震,Động đất,Động Đất,SOURCE_REVIEWED,"Tên event"
SLPS_020.75,0x226c,邪神像,Tượng tà thần,Tượng Tà Thần,SOURCE_REVIEWED,"Tên công trình"
SLPS_020.75,0x2280,悪魔の塔,Tháp ác ma,Tháp Ác Ma,SOURCE_REVIEWED,"Tên công trình"
SLPS_020.75,0x2294,はかば,Nghĩa địa,Nghĩa Địa,SOURCE_REVIEWED,"Tên công trình/ô"
SLPS_020.75,0x22a8,温泉,Suối nóng,Suối Nước Nóng,SOURCE_REVIEWED,"Ưu tiên nghĩa nguồn trực tiếp; runtime fantasy có thể rút gọn riêng"
SLPS_020.75,0x22bc,女神像,Tượng nữ thần,Tượng Nữ Thần,SOURCE_REVIEWED,"Tên công trình"
SLPS_020.75,0x22d0,庭園,Vườn,Vườn,SOURCE_REVIEWED,"Tên công trình"
SLPS_020.75,0x22e4,大聖堂,Đại thánh đường,Đại Thánh Đường,SOURCE_REVIEWED,"Tên công trình"
SLPS_020.75,0x22f8,サーカス,Rạp xiếc,Rạp Xiếc,SOURCE_REVIEWED,"Tên công trình"
SLPS_020.75,0x230c,呪いの沼,Đầm lầy nguyền rủa,Đầm Lầy Nguyền Rủa,SOURCE_REVIEWED,"Tên công trình"
SLPS_020.75,0x2320,死神像,Tượng tử thần,Tượng Tử Thần,SOURCE_REVIEWED,"Tên công trình"
SLPS_020.75,0x2334,ダイス３つ,3 xúc xắc,3 Xúc Xắc,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x2348,ダイス４つ,4 xúc xắc,4 Xúc Xắc,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x235c,１進む,Tiến 1 ô,Tiến 1 Ô,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x2370,２進む,Tiến 2 ô,Tiến 2 Ô,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x2384,３進む,Tiến 3 ô,Tiến 3 Ô,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x2398,４進む,Tiến 4 ô,Tiến 4 Ô,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x23ac,５進む,Tiến 5 ô,Tiến 5 Ô,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x23c0,６進む,Tiến 6 ô,Tiến 6 Ô,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x23d4,お店破壊,Phá cửa hàng,Phá Cửa Hàng,SOURCE_REVIEWED,"Tên card; nguồn lặp"
SLPS_020.75,0x23e8,カード交換,Đổi thẻ,Đổi Thẻ,SOURCE_REVIEWED,"Tên card"
SLPS_020.75,0x244c,ヤスツナ,Yasutsuna,Yasutsuna,SOURCE_REVIEWED,"Tên riêng"
SLPS_020.75,0x2458,ガラハッド,Galahad,Galahad,SOURCE_REVIEWED,"Tên riêng"
SLPS_020.75,0x2464,ティアラ,Tiara,Tiara,SOURCE_REVIEWED,"Tên riêng"
SLPS_020.75,0x2470,ゴライアス,Goliath,Goliath,SOURCE_REVIEWED,"Tên riêng"
SLPS_020.75,0x247c,メグメグ,Megumegu,Megumegu,SOURCE_REVIEWED,"Tên riêng"
SLPS_020.75,0x2488,アガート,Agate,Agate,SOURCE_REVIEWED,"Tên riêng"
SLPS_020.75,0x2494,シンバッド,Sinbad,Sinbad,SOURCE_REVIEWED,"Tên riêng"
SLPS_020.75,0x2580,れん金術,Giả kim thuật,Giả Kim Thuật,SOURCE_REVIEWED,"Tên kỹ năng/cơ sở"
SLPS_020.75,0x263c,病院,Bệnh viện,Bệnh Viện,SOURCE_REVIEWED,"Tên cơ sở"
SLPS_020.75,0x264a,騎士団,Hiệp sĩ đoàn,Đoàn Kỵ Sĩ,SOURCE_REVIEWED,"Tên tổ chức"
SLPS_020.75,0x2658,修道会,Tu viện,Tu Viện,SOURCE_REVIEWED,"Giữ glossary gameplay đã dùng"
SLPS_020.75,0x2666,れん金術,Giả kim thuật,Giả Kim Thuật,SOURCE_REVIEWED,"Nguồn lặp"
SLPS_020.75,0x2674,武器屋,Tiệm vũ khí,Tiệm Vũ Khí,SOURCE_REVIEWED,"Tên cửa hàng"
SLPS_020.75,0x2858,やったー！！,Tuyệt quá!!,Tuyệt quá!!,SOURCE_REVIEWED,"Lời reo vui"
SLPS_020.75,0x2868,このエリアはあなたのものよ！！,Khu vực này thuộc về bạn!!,Khu vực này thuộc về bạn!!,SOURCE_REVIEWED,"Thông báo sở hữu"
SLPS_020.75,0x2888,このエリアはあなたたちのものよ！！,Khu vực này thuộc về các bạn!!,Khu vực này thuộc về các bạn!!,SOURCE_REVIEWED,"Thông báo sở hữu số nhiều"
SLPS_020.75,0x28ac,土地の資産価値もどーんとアップ！,Giá trị đất tăng mạnh!,Giá trị tài sản của đất tăng vọt!,SOURCE_REVIEWED,"どーんと = tăng mạnh/tăng vọt"
SLPS_020.75,0x28d0,土地の持ち主が変わったよ,Chủ đất đã thay đổi,Chủ sở hữu mảnh đất đã thay đổi.,SOURCE_REVIEWED,"Thông báo đổi chủ"
SLPS_020.75,0x28ec,体力が０になったから、ちりょうひ,HP về 0 nên phải trả viện phí,"Vì HP đã về 0, viện phí...",SOURCE_REVIEWED_FRAGMENT,"Nguồn Nhật kết thúc ở ちりょうひ; không tự thêm động từ trả"
SLPS_020.75,0x2910,２００ゼニーをもらうわよ！,Nhận 200 Zenny!,Bạn nhận được 200 Zenny!,SOURCE_REVIEWED,"Thông báo nhận tiền"
SLPS_020.75,0x2c44,何がおこるのかな,Chuyện gì sẽ xảy ra?,Không biết chuyện gì sẽ xảy ra nhỉ?,SOURCE_REVIEWED,"Lời dẫn event"
SLPS_020.75,0x2c58,２枚まで交換できるよ！,Có thể đổi tối đa 2 thẻ!,Bạn có thể đổi tối đa 2 lá!,SOURCE_REVIEWED,"Mô tả card"
SLPS_020.75,0x2c70,大チャンス！ライバルと武器カードを,Cơ hội lớn! Đổi thẻ vũ khí với đối thủ,Cơ hội lớn! Thẻ Vũ khí với đối thủ...,SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc bằng を; không tự thêm động từ đổi"
SLPS_020.75,0x2c94,「カード交換」,Đổi thẻ,“Đổi Thẻ”,SOURCE_REVIEWED,"Tên card trong ngoặc"
SLPS_020.75,0x2ca4,壊してくれるわよ,Sẽ phá cho bạn,...sẽ phá hủy giúp bạn.,SOURCE_REVIEWED_FRAGMENT,"Mảnh câu thiếu tân ngữ ở nguồn"
SLPS_020.75,0x2cb8,えらんだエリアのお店を魔王が全部,Ma vương phá toàn bộ cửa hàng ở khu đã chọn,"Toàn bộ cửa hàng trong khu đã chọn, Ma Vương...",SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc sau chủ ngữ Ma Vương; giữ fragment"
SLPS_020.75,0x2cdc,「お店破壊」,Phá cửa hàng,“Phá Cửa Hàng”,SOURCE_REVIEWED,"Tên card trong ngoặc"
SLPS_020.75,0x2cec,６マス進めるよ,Tiến 6 ô,Bạn có thể tiến 6 ô.,SOURCE_REVIEWED,"Mô tả card"
SLPS_020.75,0x2cfc,「６進む」,Tiến 6,“Tiến 6 Ô”,SOURCE_REVIEWED,"Tên card trong ngoặc"
SLPS_020.75,0x2d08,５マス進めるよ,Tiến 5 ô,Bạn có thể tiến 5 ô.,SOURCE_REVIEWED,"Mô tả card"
SLPS_020.75,0x2d18,「５進む」,Tiến 5,“Tiến 5 Ô”,SOURCE_REVIEWED,"Tên card trong ngoặc"
SLPS_020.75,0x2d24,４マス進めるよ,Tiến 4 ô,Bạn có thể tiến 4 ô.,SOURCE_REVIEWED,"Mô tả card"
SLPS_020.75,0x2d34,「４進む」,Tiến 4,“Tiến 4 Ô”,SOURCE_REVIEWED,"Tên card trong ngoặc"
