japanese,vi_full,vi_runtime_historical,status,note
シールド,Khiên,Khiên,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Shield"
ＨＰを３０回復する,Hồi 30 HP.,Hồi 30HP,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ 30 HP"
使い捨て回復アイテム,Vật Phẩm Hồi Phục Dùng Một Lần,Đồ hồi 1 lần,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Item class"
ファイアボール,Cầu Lửa,Cầu lửa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Fireball"
バトルアックス,Rìu Chiến,Rìu chiến,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Battle Axe"
基本武器,Vũ Khí Cơ Bản,Vũ khí thường,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Weapon class"
ダメージ,Sát Thương,Sát thương,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Stat label"
武器破壊,Phá Hủy Vũ Khí,Phá vũ khí,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Effect name"
ランダム武器破壊,Phá Vũ Khí Ngẫu Nhiên,Phá VK ngẫu nhiên,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Effect name"
指定武器破壊,Phá Vũ Khí Chỉ Định,Phá VK chỉ định,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Effect name"
指定武器取得,Nhận Vũ Khí Chỉ Định,Lấy VK chỉ định,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Effect name"
お店破壊,Phá Hủy Cửa Hàng,Phá tiệm,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event name"
カード交換,Đổi Thẻ,Đổi thẻ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event name"
れん金術,Thuật Giả Kim,Giả kim thuật,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Facility/skill"
病院,Bệnh Viện,Y viện,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Facility"
騎士団,Đoàn Kỵ Sĩ,Đoàn Hiệp sĩ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Organization/facility"
修道会,Hội Tu Sĩ,Tu viện,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Organization/facility"
武器屋,Cửa Hàng Vũ Khí,Tiệm vũ khí,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Facility"
やったー！！,Tuyệt quá!!,Tuyệt!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Reaction"
このエリアはあなたのものよ！！,Khu vực này thuộc về bạn rồi!!,Lãnh địa thuộc về ngươi!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Area ownership"
このエリアはあなたたちのものよ！！,Khu vực này thuộc về các bạn rồi!!,Lãnh địa thuộc về các ngươi!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Area ownership plural"
土地の資産価値もどーんとアップ！,Giá trị tài sản của đất cũng tăng vọt!,Giá đất tăng vọt!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Property effect"
土地の持ち主が変わったよ,Chủ sở hữu mảnh đất đã thay đổi.,Lãnh địa đổi chủ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Property effect"
体力が０になったから、ちりょうひ,"Vì HP đã về 0, viện phí...","HP cạn, nộp viện phí",SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
２００ゼニーをもらうわよ！,...tôi sẽ thu 200 Zenny nhé!,Nhận 200 Z!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết viện phí"
何がおこるのかな,Không biết chuyện gì sẽ xảy ra nhỉ?,Điềm gì sắp tới?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event intro"
２枚まで交換できるよ！,...có thể đổi tối đa 2 lá!,Đổi tối đa 2 thẻ!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết"
大チャンス！ライバルと武器カードを,Cơ hội lớn! Đổi Thẻ Vũ khí với đối thủ...,Cơ hội! Đổi thẻ VK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
「カード交換」,“Đổi Thẻ”,Đổi thẻ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
壊してくれるわよ,...sẽ phá sạch cho bạn.,Sẽ phá giúp,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết"
えらんだエリアのお店を魔王が全部,Ma Vương sẽ phá toàn bộ cửa hàng trong khu vực đã chọn...,Ma vương phá tiệm vùng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
「お店破壊」,“Phá Hủy Cửa Hàng”,Phá tiệm,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
６マス進めるよ,Bạn sẽ tiến 6 ô.,Tiến 6 ô,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Movement effect"
５マス進めるよ,Bạn sẽ tiến 5 ô.,Tiến 5 ô,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Movement effect"
４マス進めるよ,Bạn sẽ tiến 4 ô.,Tiến 4 ô,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Movement effect"
死神のシンボルを建てると、,"Khi xây Biểu tượng Tử Thần,",Dựng tượng Tử thần,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
沼のシンボルを建てれば、,"Nếu xây Biểu tượng Đầm Lầy,",Dựng Đầm nguyền,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
サーカスのシンボルを建てると、,"Khi xây Biểu tượng Rạp Xiếc,",Dựng Gánh xiếc,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
大聖堂のシンボルを建てると、,"Khi xây Biểu tượng Đại Thánh Đường,",Dựng Thánh đường,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
庭園のシンボルを建てると、,"Khi xây Biểu tượng Khu Vườn,",Dựng Vườn,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
女神のシンボルを建てると、,"Khi xây Biểu tượng Nữ Thần,",Dựng tượng Nữ thần,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
温泉のシンボルを建てると、,"Khi xây Biểu tượng Suối Nước Nóng,",Dựng Linh tuyền,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
はかばのシンボルを建てると、,"Khi xây Biểu tượng Nghĩa Địa,",Dựng Nghĩa địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
塔のシンボルを建てると、,"Khi xây Biểu tượng Tháp,",Dựng Ma tháp,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; source chỉ ghi 塔"
邪神のシンボルを建てると、,"Khi xây Biểu tượng Tà Thần,",Dựng tượng Tà thần,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
邪魔なシンボルを壊せるよ！,Có thể phá một Biểu tượng cản trở!,Phá 1 thần tượng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Effect"
このカードを使うと、,"Khi dùng lá bài này,","Dùng thẻ này,",SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
戦闘をしかけることができるよ！,Bạn có thể thách đấu!,Được quyền tỉ thí!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Effect"
このカードを使えば、ライバルに,Nếu dùng lá bài này, với đối thủ...,Dùng lên địch thủ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
土地マスを無効にできるよ,Có thể vô hiệu hóa các ô Đất.,Vô hiệu ô lãnh địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Effect"
特殊マスが効かなくなっちゃう,Các ô Đặc biệt sẽ mất tác dụng.,Vô hiệu ô đặc biệt,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Effect"
氷の女神のくちづけでしばらく,Nhờ nụ hôn của Nữ Thần Băng, trong một thời gian...,Nữ thần Băng nguyền,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
「氷の女神のくちづけ」,“Nụ Hôn của Nữ Thần Băng”,Nụ hôn Băng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
いたずら好きの時の神がみんなの場所,Thần Thời Gian tinh nghịch sẽ lấy vị trí của mọi người...,Thần Thời hoán vị,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
「時の神のいたずら」,“Trò Nghịch của Thần Thời Gian”,Trò Thần Thời,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card title"
全ての分岐マスを切りかえて、,"Chuyển tất cả các ô ngã rẽ,","Đổi mọi ngã rẽ,",SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
