file,offset_hex,japanese,vi_accented,field_bytes,vi_bytes,free_bytes,confidence,source_priority,source,category
PRGPACK.BDP,0xde5f8,ロード方法をえらんでね,Cách tải?,22,18,4,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x143090,%sにとばされちゃう！,%s bị dịch!,20,20,0,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x1430a8,「ワープ」,Dịch,10,8,2,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x1430b4,持ち主がいなかったら購入できるよ,Vô chủ: mua được,32,32,0,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x143360,ふつうよね,Bình,10,8,2,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x14336c,止まるか、あいてにかさなるのが,Dừng trùng địch,30,30,0,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x14338c,戦闘をしたかったら、戦闘マスに,Muốn đấu: ô đấu,30,30,0,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x1433ac,マスはあなたのもの！,Ô của bạn!,20,20,0,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x1433c4,あいてに勝てたら,Thắng!,16,12,4,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x1433d8,戦闘でマスをうばうの！,Cướp ô đấu,22,20,2,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x1433f0,うまく使えば一発ギャクテンよ！！,Khéo là lật thế!,32,32,0,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x143414,カードを忘れないでね,Nhớ thẻ!,20,16,4,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x14342c,お金がもらえるわ！,Có tiền!,18,16,2,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x143440,ＧＯマスを通れば、カードと,Qua GO: thẻ +,26,26,0,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x14345c,とくてんもオイシイよ！,có thưởng!,22,20,2,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x143474,マスの通行税も上がるし、,"Phí ô tăng,",24,22,2,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x143490,お店を建ててみたら？,Xây shop?,20,18,2,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x1434ac,くれれば、通行税をもらえるわ！,Thu được phí!,30,26,4,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x1434cc,あいてが自分のマスに止まって,Địch dừng ô ta,28,28,0,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x1434ec,とにかくマスをそろえることね,Cứ gom đủ ô,28,22,6,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x14350c,増やすのよ！,Tăng!,12,10,2,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x14351c,ターンまでに自分の資産を,Tới hạn: vốn,24,24,0,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x143538,もうかるわよ！！,Có lời!!,16,16,0,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x14354c,そうすれば、価値が上がって,Giá sẽ tăng,26,22,4,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x143568,同じエリアのマスを3つそろえるの！,Gom 3 ô cùng khu,33,32,1,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x14358c,このターンでおしまいだよ,Lượt cuối!,24,20,4,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x1435a8,最後まであきらめないでね！,Đừng bỏ cuộc!,26,26,0,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x1435c4,あと%dターンでおしまいだよ,Còn %d lượt,26,20,6,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x1435e0,ちなみに今のトップは%sさん,Dẫn đầu: %s,26,20,6,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x1435fc,ちなみに今のトップは,Dẫn đầu:,20,16,4,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x143614,%sさん %sさん,%s %s,13,6,7,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x143624,%sさん %sさん %sさん,%s %s %s,20,10,10,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
PRGPACK.BDP,0x14363c,%sさん %sさん %sさん %sさん,%s %s %s %s,27,14,13,HIGH,UNSEEN-JAPANESE,FULL_JAPANESE_SCAN_0.6.38.0,batch43-visible-wholegame
