japanese,vi_full,vi_semantic_current,status,note
手に入らなかったよ,Bạn không nhận được lá nào.,Không nhận được,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo kết quả"
%d枚、手に入れたよ,Bạn nhận được %d lá.,Nhận được %d thẻ,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %d"
「%s」を捨てて、,"Bỏ “%s” đi, rồi...","Bỏ %s,",SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s; mảnh câu"
「%s」を手に入れたよ,Bạn nhận được “%s”.,Nhận %s,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s"
「%s」を手に入れたけど,"Bạn nhận được “%s”, nhưng...","Đã nhận %s, nhưng...",SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s; mảnh câu"
捨てたよ,Đã bỏ rồi.,Đã bỏ,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo hoàn tất"
セリフ速度,Tốc độ lời thoại,Tốc độ thoại,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn cài đặt"
セリフ表示,Hiển thị lời thoại,Hiển thị thoại,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn cài đặt"
ボイス,Lồng tiếng,Giọng nói,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn cài đặt giọng"
アニメーション,Hoạt ảnh,Hoạt ảnh,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn cài đặt"
プレイヤー設定,Cài đặt người chơi,Cài đặt người chơi,SOURCE_FULL_TRANSLATED_ONLY,"Nhãn cài đặt"
しんどう設定,Cài đặt rung,Cài đặt rung,SOURCE_FULL_TRANSLATED_ONLY,"Rung tay cầm"
１　（速い）,1 (Nhanh),1 (Nhanh),SOURCE_FULL_TRANSLATED_ONLY,"Tùy chọn tốc độ"
２　（ふつう）,2 (Bình thường),2 (Bình thường),SOURCE_FULL_TRANSLATED_ONLY,"Tùy chọn tốc độ"
○ボタンをおしてね,Hãy nhấn nút ○.,Nhấn O,SOURCE_FULL_TRANSLATED_ONLY,"Giữ ký hiệu nút theo nguồn"
%sはコントローラ%sだよ！,%s dùng tay cầm %s!,%s dùng tay cầm %s!,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên hai token %s và thứ tự"
この設定でいいかしら？,Thiết lập này ổn chứ?,Thiết lập này ổn chứ?,SOURCE_FULL_TRANSLATED_ONLY,"Prompt xác nhận"
キャラクターをえらんでね,Hãy chọn nhân vật.,Chọn nhân vật nhé,SOURCE_FULL_TRANSLATED_ONLY,"Màn chọn nhân vật"
○ボタンをおしてね！,Hãy nhấn nút ○!,Nhấn O!,SOURCE_FULL_TRANSLATED_ONLY,"Giữ ký hiệu nút theo nguồn"
ゲームをはじめるよ,Bắt đầu trò chơi nhé!,Bắt đầu game!,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo bắt đầu"
データがないわよ,Không có dữ liệu.,Không có dữ liệu,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo dữ liệu"
ＳＬＯＴをえらんでね,Hãy chọn SLOT.,Chọn SLOT,SOURCE_FULL_TRANSLATED_ONLY,"Giữ thuật ngữ SLOT"
%dゼニーあげるね,Bạn nhận được %d Zenny.,Tặng %d Zenny,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %d"
体力が５０回復したよ！,HP đã hồi 50!,Hồi 50HP!,SOURCE_FULL_TRANSLATED_ONLY,"Thông báo hồi phục"
%sに止まったよ,Bạn đã dừng ở %s.,Dừng ở %s,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s"
%sの土地に,Trên lãnh địa của %s...,Đất %s,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ token %s"
止まっちゃったよ,...bạn dừng lại mất rồi!,Đã dừng!,SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu nối từ dòng trước"
土地をかけて戦うことができるよ,Bạn có thể chiến đấu để tranh giành lãnh địa.,Có thể đấu giành đất,SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
武器カードが手に入るわ,Bạn sẽ nhận được một Thẻ Vũ khí.,Nhận VK,SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
所持金の２０％とられるよ,Bạn sẽ mất 20% số tiền đang có.,Mất20% tiền,SOURCE_FULL_TRANSLATED_ONLY,"Giữ giá trị 20%"
土地代の２０％とられるよ,Bạn sẽ mất 20% giá trị đất.,Mất 20% giá đất,SOURCE_FULL_TRANSLATED_ONLY,"Giữ giá trị 20%"
%sは一回休みよ！,%s phải nghỉ một lượt!,%s nghỉ 1 lượt!,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s"
%sの番よ！,Đến lượt %s!,Lượt %s!,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s"
戦いをしかけるよね？,Bạn muốn khiêu chiến chứ?,Khiêu chiến nhé?,SOURCE_FULL_TRANSLATED_ONLY,"Prompt chiến đấu"
これでいい？,Thế này được chứ?,Thế này được?,SOURCE_FULL_TRANSLATED_ONLY,"Prompt xác nhận"
はい　　いいえ,Có    Không,Có / Không,SOURCE_FULL_TRANSLATED_ONLY,"Lựa chọn nhị phân"
使用するカードをえらんでね,Hãy chọn lá bài muốn dùng.,Chọn thẻ để dùng,SOURCE_FULL_TRANSLATED_ONLY,"Prompt chọn bài"
「%s」を使うね,Dùng “%s” nhé.,Dùng %s,SOURCE_FULL_TRANSLATED_ONLY,"Giữ nguyên token %s"
サンダー,Sấm Sét,Sấm Sét,SOURCE_FULL_TRANSLATED_ONLY,"Tên kỹ năng/vũ khí theo nguồn semantic"
ハリケーン,Bão Tố,Bão Tố,SOURCE_FULL_TRANSLATED_ONLY,"Tên kỹ năng/vũ khí theo nguồn semantic"
クロスボウ,Nỏ,Nỏ,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
ロングソード,Trường kiếm,Trường Kiếm,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
ハンマー,Búa,Búa,SOURCE_FULL_TRANSLATED_ONLY,"Tên vũ khí"
運がよければ敵を倒せるかも,Nếu may mắn, có thể hạ gục đối thủ.,May ra hạ được địch,SOURCE_FULL_TRANSLATED_ONLY,"Mô tả hiệu ứng"
特殊　速度６　使い捨て,"Đặc biệt - Tốc độ 6 - Dùng một lần","Đặc biệt, tốc độ 6, dùng 1 lần",SOURCE_FULL_TRANSLATED_ONLY,"Giữ thông số tốc độ 6"
いちかばちか,Được ăn cả, ngã về không!,Liều một phen,SOURCE_FULL_TRANSLATED_ONLY,"Thành ngữ いちかばちか"
あいてのカード一枚を破壊する,Phá hủy một lá bài của đối thủ.,Phá 1 thẻ đối thủ,SOURCE_FULL_TRANSLATED_ONLY,"Mô tả hiệu ứng"
ポリタンがみがわりに！？,Politan sẽ thế thân cho bạn!?,Politan thế mạng!?,SOURCE_FULL_TRANSLATED_ONLY,"Mô tả hiệu ứng"
