file,offset_hex,japanese,vi_full,vi_game_current,status,note
SLPS_020.75,0x31dc,「地震」,“Động Đất”,「DONGDAT」,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x31e8,戦闘をしかけることができるよ！,Bạn có thể chủ động khiêu chiến!,CO THE THACHDAU,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3208,このカードを使えば、ライバルに,"Nếu dùng lá bài này, lên đối thủ...",DUNG THE DOI THU,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3228,「バトルカード」,“Thẻ Chiến Đấu”,「THE DAU」,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x323c,土地マスを無効にできるよ,Bạn có thể vô hiệu hóa ô Đất.,VO HIEU O DAT,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3258,１ターンのあいだ自分の番だけ、,"Trong một lượt, chỉ trong lượt của bạn...",1 LUOT RIENG BAN,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3278,「ふみたおし」,“Quỵt Nợ”,「QUYT」,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3288,特殊マスが効かなくなっちゃう,Các ô đặc biệt sẽ mất tác dụng.,VO HIEU O DB,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x32a8,氷の女神のくちづけでしばらく,"Bởi Nụ Hôn của Nữ Thần Băng, trong một thời gian...",NU THAN BANG,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x32c8,「氷の女神のくちづけ」,“Nụ Hôn Của Nữ Thần Băng”,「HON BANG」,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x32e0,を入れかえちゃう,...sẽ hoán đổi vị trí cho nhau.,DOI CHO,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x32f4,いたずら好きの時の神がみんなの場所,"Thần Thời tinh nghịch, vị trí của mọi người...",THAN GIO DOI CHO,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3318,「時の神のいたずら」,“Trò Nghịch Của Thần Thời”,「THAN GIO」,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3330,ルートを変えてあげる,Sẽ đổi tuyến đường cho bạn.,DOI DUONG,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3348,全ての分岐マスを切りかえて、,"Đổi tất cả các ô ngã rẽ, rồi...",DOI CAC NGA RE,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3368,「ルート変更」,“Đổi Tuyến Đường”,「DOI DUONG」,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3394,「%s」を手に入れたよ,Bạn nhận được “%s”.,NHAN %s,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
SLPS_020.75,0x33ac,手持ちのイベントカードがいっぱいで,"Thẻ Sự Kiện đang mang đã đầy, nên...",THE SK DA DAY,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x33d0,もう持ち切れないよ,Bạn không thể mang thêm nữa.,HET CHO,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x33e4,どれを捨てる？,Bạn muốn bỏ lá nào?,BO THE NAO?,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x33f4,「%s」を捨てて,Bỏ “%s”.,BO %s,IN_ALPHA_05,Đã chạy trong Alpha 0.5; cột vi_full sẽ được biên tập có dấu dần.
SLPS_020.75,0x3404,「%s」をあきらめたよ,Bạn đã từ bỏ “%s”.,BO %s,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3758,あいての体力,HP Đối Thủ,HP DOI THU,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x378c,キャンセル,Hủy,HUY,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x37bc,本当にやめるの？,Bạn thật sự muốn dừng chứ?,DUNG THAT?,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x37d0,お金が足りないけど,"Bạn không đủ tiền, nhưng...",THIEU TIEN,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x37e4,何か売っちゃう ？,Bạn muốn bán thứ gì đó chứ?,BAN GI?,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x380c,総資産を見たけど ,"Đã xem tổng tài sản rồi, nhưng...",TONG TS,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3820,これじゃたりないわよ,Thế này vẫn chưa đủ đâu.,VAN THIEU,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3838,まだお金が足りないけど,"Bạn vẫn còn thiếu tiền, nhưng...",VAN THIEU,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3850,総資産を見たけど,"Đã xem tổng tài sản rồi, nhưng...",TONG TS,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3864,も～何やってるの？,Trời ơi,LAM GI DAY?,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3878,早く決めてよね！！,Quyết định nhanh lên nào!!,CHON NHANH!!,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x388c,もうっ！,Thật tình!,TROI!,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x3898,早く決めてってばぁ～,Đã bảo quyết định nhanh lên mà～!,CHON NHANH,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x7679c,氷の弓,Cung Băng,CUNG BANG,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x767a4,丸薬,Thuốc Viên,THUOC,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x767ac,ダーツ,Phi Tiêu,PHITIEU,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x767b4,如意棒,Như Ý Bổng,NHUYBONG,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x767c4,クナイ,Kunai,KUNAI,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x767cc,野太刀,Nodachi,NODACHI,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x767d4,メイス,Chùy,CHUY,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x767e0,支援系,Hệ Hỗ Trợ,HOTRO,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x767e8,回復系,Hệ Hồi Phục,HOIPHUC,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x767f0,無属性,Vô Thuộc Tính,VOTHUOC,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x767fc,投射,Phóng,TAMXA,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x76804,魔法,Ma Pháp,PHEP,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x7681c,ダンテ,Dante,DANTE,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x76824,孫悟空,Tôn Ngộ Không,NGOKHONG,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x7682c,ハヤテ,Hayate,HAYATE,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x76834,ジガー,Jigger,JIGGER,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x7683c,騎士団,Đoàn Kỵ Sĩ,HIEPSI,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x76844,修道会,Tu Viện,TUVIEN,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x7684c,病院,Bệnh Viện,BENH,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x76854,武器屋,Tiệm Vũ Khí,TIEMVK,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x7685c,バンク,Ngân Hàng,NGANHANG,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x76868,%sの,của %s...,%s CUA,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x76870,%sね,%s nhé.,%s NHE,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x768d0,軍資金,Quân Quỹ,QUANQUY,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x768d8,資金額,Số Vốn,VON,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
SLPS_020.75,0x7690c,%sは,%s thì...,%s LA,TRANSLATED_FOR_06,Bản dịch nguồn có dấu; game fallback chưa chốt encoding.
