file,offset_hex,japanese,vi_accented,field_bytes,vi_bytes,old_fallback,vi_full_reference,source
SLPS_020.75,0x2c70,大チャンス！ライバルと武器カードを,Cơ hội Đổi thẻ VK,34,34,COHOI DOI THE VK,Cơ hội lớn! Đổi thẻ vũ khí với đối thủ,same-row-lexical-accent-transplant
SLPS_020.75,0x2ca4,壊してくれるわよ,Sẽ phá,16,12,SE PHA,Sẽ phá cho bạn,same-row-lexical-accent-transplant
SLPS_020.75,0x2d88,使うとダイスをふるかわりに,thay xúc xắc,26,24,THAY XUCXAC,Dùng thay cho việc gieo xúc xắc,same-row-lexical-accent-transplant
SLPS_020.75,0x2e50,死神のシンボルを建てると、,Xây Tử thần,26,22,XAY TU THAN,Xây biểu tượng Tử thần sẽ,same-row-lexical-accent-transplant
SLPS_020.75,0x2ea4,沼のシンボルを建てれば、,Xây đầm lầy,24,22,XAY DAM LAY,Xây biểu tượng đầm lầy sẽ,same-row-lexical-accent-transplant
SLPS_020.75,0x2efc,サーカスのシンボルを建てると、,Xây xiếc,30,16,XAY XIEC,Xây biểu tượng rạp xiếc sẽ,same-row-lexical-accent-transplant
SLPS_020.75,0x2fb4,庭園のシンボルを建てると、,Xây vườn,26,16,XAY VUON,Xây biểu tượng vườn sẽ,same-row-lexical-accent-transplant
SLPS_020.75,0x300c,女神のシンボルを建てると、,Xây Nữ thần,26,22,XAY NU THAN,Xây biểu tượng Nữ thần sẽ,same-row-lexical-accent-transplant
SLPS_020.75,0x3064,温泉のシンボルを建てると、,Xây suối,26,16,XAY SUOI,Xây biểu tượng suối nóng sẽ,same-row-lexical-accent-transplant
SLPS_020.75,0x30bc,はかばのシンボルを建てると、,Xây nghĩa,28,18,XAY NGHIA,Xây biểu tượng nghĩa địa sẽ,same-row-lexical-accent-transplant
SLPS_020.75,0x3118,塔のシンボルを建てると、,Xây tháp,24,16,XAY THAP,Xây biểu tượng tháp sẽ,same-row-lexical-accent-transplant
SLPS_020.75,0x3174,邪神のシンボルを建てると、,Xây Tà thần,26,22,XAY TA THAN,Xây biểu tượng Tà thần sẽ,same-row-lexical-accent-transplant
SLPS_020.75,0x3278,「ふみたおし」,「Quỵt」,14,12,「QUYT」,Quỵt tiền,same-row-lexical-accent-transplant
SLPS_020.75,0x32a8,氷の女神のくちづけでしばらく,Nụ thần băng,28,24,NU THAN BANG,Nụ hôn Nữ thần băng khiến tạm thời,same-row-lexical-accent-transplant
SLPS_020.75,0x32c8,「氷の女神のくちづけ」,「hôn băng」,22,20,「HON BANG」,Nụ hôn Nữ thần băng,same-row-lexical-accent-transplant
SLPS_020.75,0x3330,ルートを変えてあげる,Đổi đường,20,18,DOI DUONG,Đổi tuyến đường,same-row-lexical-accent-transplant
SLPS_020.75,0x33ac,手持ちのイベントカードがいっぱいで,Thẻ SK đã đầy,34,26,THE SK DA DAY,Thẻ sự kiện đã đầy,same-row-lexical-accent-transplant
SLPS_020.75,0x3404,「%s」をあきらめたよ,bỏ %s,20,8,BO %s,Từ bỏ %s,same-row-lexical-accent-transplant
SLPS_020.75,0x378c,キャンセル,Hủy,10,6,HUY,Hủy,same-row-lexical-accent-transplant
SLPS_020.75,0x37e4,何か売っちゃう ？,Bán gì?,17,14,BAN GI?,Bán thứ gì đó?,same-row-lexical-accent-transplant
SLPS_020.75,0x380c,総資産を見たけど,tổng TS,16,14,TONG TS,Đã xem tổng tài sản,same-row-lexical-accent-transplant
SLPS_020.75,0x3850,総資産を見たけど,tổng TS,16,14,TONG TS,Đã xem tổng tài sản,same-row-lexical-accent-transplant
