japanese,vi_full,vi_runtime_historical,source,status,note
所有者なし,Không Có Chủ Sở Hữu,Vô chủ,BATCH13_DYNAMIC_0.6.22.0,SOURCE_FULL_TRANSLATED_ONLY,"Property state"
ＧＯマス,Ô GO,Ô GO,BATCH13_DYNAMIC_0.6.22.0,SOURCE_FULL_TRANSLATED_ONLY,"Board square"
酒場マス,Ô Quán Rượu,Ô quán,BATCH13_DYNAMIC_0.6.22.0,SOURCE_FULL_TRANSLATED_ONLY,"Board square"
ダイス３つ,3 Xúc Xắc,3 xúc xắc,BATCH13_DYNAMIC_0.6.22.0,SOURCE_FULL_TRANSLATED_ONLY,"Card/effect name"
ダイス４つ,4 Xúc Xắc,4 xúc xắc,BATCH13_DYNAMIC_0.6.22.0,SOURCE_FULL_TRANSLATED_ONLY,"Card/effect name"
ルート変更,Đổi Tuyến Đường,Đổi lộ,BATCH13_DYNAMIC_0.6.22.0,SOURCE_FULL_TRANSLATED_ONLY,"Event name"
売却,Bán,Bán,BATCH14_DYNAMIC_0.6.23.0,SOURCE_FULL_TRANSLATED_ONLY,"Property command"
抵当,Thế Chấp,Thế chấp,BATCH14_DYNAMIC_0.6.23.0,SOURCE_FULL_TRANSLATED_ONLY,"Mortgage"
価格,Giá,Giá,BATCH14_DYNAMIC_0.6.23.0,SOURCE_FULL_TRANSLATED_ONLY,"Price"
お店,Cửa Hàng,Tiệm,BATCH14_DYNAMIC_0.6.23.0,SOURCE_FULL_TRANSLATED_ONLY,"Shop"
資金,Vốn,Ngân quỹ,BATCH14_DYNAMIC_0.6.23.0,SOURCE_FULL_TRANSLATED_ONLY,"Funds"
土地名,Tên Lãnh Địa,Tên lãnh địa,BATCH14_DYNAMIC_0.6.23.0,SOURCE_FULL_TRANSLATED_ONLY,"UI label"
合計金額,Tổng Số Tiền,Tổng vàng,BATCH14_DYNAMIC_0.6.23.0,SOURCE_FULL_TRANSLATED_ONLY,"UI label"
物件,Tài Sản,Gia sản,BATCH14_DYNAMIC_0.6.23.0,SOURCE_FULL_TRANSLATED_ONLY,"Property/assets"
不足金額,Số Tiền Còn Thiếu,Vàng thiếu,BATCH14_DYNAMIC_0.6.23.0,SOURCE_FULL_TRANSLATED_ONLY,"UI label"
エリア名,Tên Khu Vực,Tên lãnh địa,BATCH14_DYNAMIC_0.6.23.0,SOURCE_FULL_TRANSLATED_ONLY,"UI label"
武器カード,Thẻ Vũ Khí,Thẻ VK,BATCH14_DYNAMIC_0.6.23.0,SOURCE_FULL_TRANSLATED_ONLY,"Card type"
イベントカード,Thẻ Sự Kiện,Thẻ SK,BATCH14_DYNAMIC_0.6.23.0,SOURCE_FULL_TRANSLATED_ONLY,"Card type"
土地,Lãnh Địa,Lãnh địa,BATCH14_DYNAMIC_0.6.23.0,SOURCE_FULL_TRANSLATED_ONLY,"Land/territory"
浴場,Nhà Tắm,Nhà tắm,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Facility"
施設,Công Trình,Cơ sở,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Facility generic label"
所有者,Chủ Sở Hữu,Chủ,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Owner label"
大不幸,Đại Bất Hạnh,Đại bất hạnh,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Event"
不幸,Bất Hạnh,Bất hạnh,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Event"
所得税,Thuế Thu Nhập,Thuế lợi tức,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Tax"
土地税,Thuế Đất,Thuế đất,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Tax"
ミニゲーム,Mini-game,Thử thách,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Gameplay term"
盗賊の援助,Sự Trợ Giúp của Đạo Tặc,Đạo tặc,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Event"
魔法使いの援助,Sự Trợ Giúp của Pháp Sư,Pháp sư,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Event"
大国の混乱,Hỗn Loạn ở Đại Quốc,Đại quốc loạn,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Event"
小領主,Tiểu Lãnh Chúa,Tiểu lãnh chúa,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Title"
大領主,Đại Lãnh Chúa,Đại lãnh chúa,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Title"
大国の援助,Viện Trợ từ Đại Quốc,Viện trợ,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Event"
温泉,Suối Nước Nóng,Linh tuyền,BATCH15_DYNAMIC_0.6.24.0,SOURCE_FULL_TRANSLATED_ONLY,"Facility"
大幸運,Đại May Mắn,Đại vận may,BATCH17_DYNAMIC_0.6.26.0,SOURCE_FULL_TRANSLATED_ONLY,"Event"
魔王のきょうふ,Nỗi Khiếp Sợ Ma Vương,Ma uy,BATCH17_DYNAMIC_0.6.26.0,SOURCE_FULL_TRANSLATED_ONLY,"Event"
魔王の気まぐれ,Sự Thất Thường của Ma Vương,Ma biến,BATCH17_DYNAMIC_0.6.26.0,SOURCE_FULL_TRANSLATED_ONLY,"Event"
魔王のゆうわく,Cám Dỗ của Ma Vương,Ma dụ,BATCH17_DYNAMIC_0.6.26.0,SOURCE_FULL_TRANSLATED_ONLY,"Event"
勝利者,Kẻ Chiến Thắng,Kẻ thắng,BATCH17_DYNAMIC_0.6.26.0,SOURCE_FULL_TRANSLATED_ONLY,"UI/result label"
聖地,Thánh Địa,Thánh địa,BATCH17_DYNAMIC_0.6.26.0,SOURCE_FULL_TRANSLATED_ONLY,"Place/board term"
魔王,Ma Vương,Ma vương,BATCH17_DYNAMIC_0.6.26.0,SOURCE_FULL_TRANSLATED_ONLY,"Entity/title"
邪神,Tà Thần,Tà thần,BATCH17_DYNAMIC_0.6.26.0,SOURCE_FULL_TRANSLATED_ONLY,"Entity/title"
女神,Nữ Thần,Nữ thần,BATCH17_DYNAMIC_0.6.26.0,SOURCE_FULL_TRANSLATED_ONLY,"Entity/title"
死神,Tử Thần,Tử thần,BATCH17_DYNAMIC_0.6.26.0,SOURCE_FULL_TRANSLATED_ONLY,"Entity/title"
終了ターン,Kết Thúc Lượt,Xong,BATCH18_DYNAMIC_0.6.27.0,SOURCE_FULL_TRANSLATED_ONLY,"Turn command"
バトルカード,Thẻ Chiến Đấu,Thẻ đấu,BATCH19_DYNAMIC_0.6.28.0,SOURCE_FULL_TRANSLATED_ONLY,"Card name/type"
ふみたおし,Quỵt Phí,Quỵt nợ,BATCH19_DYNAMIC_0.6.28.0,SOURCE_FULL_TRANSLATED_ONLY,"Event/card effect"
時の神のいたずら,Trò Nghịch của Thần Thời Gian,Trò Thần Thời,BATCH19_DYNAMIC_0.6.28.0,SOURCE_FULL_TRANSLATED_ONLY,"Event/card name"
