file,offset_hex,japanese,vi_source_previous,vi_full_reviewed,status,note
SLPS_020.75,0x3208,このカードを使えば、ライバルに,Dùng thẻ này có thể với đối thủ,"Nếu dùng lá bài này, lên đối thủ...",SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc sau に; giữ fragment"
SLPS_020.75,0x3228,「バトルカード」,Thẻ chiến đấu,“Thẻ Chiến Đấu”,SOURCE_REVIEWED,"Tên card trong ngoặc"
SLPS_020.75,0x323c,土地マスを無効にできるよ,Có thể vô hiệu ô đất,Bạn có thể vô hiệu hóa ô Đất.,SOURCE_REVIEWED,"Mô tả hiệu ứng"
SLPS_020.75,0x3258,１ターンのあいだ自分の番だけ、,"Trong 1 lượt, riêng lượt của bạn","Trong một lượt, chỉ trong lượt của bạn...",SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc bằng dấu phẩy"
SLPS_020.75,0x3278,「ふみたおし」,Quỵt tiền,“Quỵt Nợ”,SOURCE_REVIEWED,"Tên card trong ngoặc"
SLPS_020.75,0x3288,特殊マスが効かなくなっちゃう,Ô đặc biệt tạm mất tác dụng,Các ô đặc biệt sẽ mất tác dụng.,SOURCE_REVIEWED,"Mô tả hiệu ứng"
SLPS_020.75,0x32a8,氷の女神のくちづけでしばらく,Nụ hôn Nữ thần băng khiến tạm thời,"Bởi Nụ Hôn của Nữ Thần Băng, trong một thời gian...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu mở đầu"
SLPS_020.75,0x32c8,「氷の女神のくちづけ」,Nụ hôn Nữ thần băng,“Nụ Hôn Của Nữ Thần Băng”,SOURCE_REVIEWED,"Tên card trong ngoặc"
SLPS_020.75,0x32e0,を入れかえちゃう,Hoán đổi vị trí,...sẽ hoán đổi vị trí cho nhau.,SOURCE_REVIEWED_FRAGMENT,"Mảnh câu nối với dòng về Thần Thời"
SLPS_020.75,0x32f4,いたずら好きの時の神がみんなの場所,Thần thời gian tinh nghịch đổi vị trí mọi người,"Thần Thời tinh nghịch, vị trí của mọi người...",SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc ở 場所; động từ nằm ở row kế"
SLPS_020.75,0x3318,「時の神のいたずら」,Trò đùa Thần thời gian,“Trò Nghịch Của Thần Thời”,SOURCE_REVIEWED,"Tên card đầy đủ"
SLPS_020.75,0x3330,ルートを変えてあげる,Đổi tuyến đường,Sẽ đổi tuyến đường cho bạn.,SOURCE_REVIEWED,"Mô tả hiệu ứng"
SLPS_020.75,0x3348,全ての分岐マスを切りかえて、,Chuyển tất cả ô rẽ nhánh,"Đổi tất cả các ô ngã rẽ, rồi...",SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc bằng dấu phẩy"
SLPS_020.75,0x3368,「ルート変更」,Đổi tuyến đường,“Đổi Tuyến Đường”,SOURCE_REVIEWED,"Tên card trong ngoặc"
SLPS_020.75,0x3394,「%s」を手に入れたよ,,Bạn nhận được “%s”.,SOURCE_REVIEWED,"Giữ nguyên token %s"
SLPS_020.75,0x33ac,手持ちのイベントカードがいっぱいで,Thẻ sự kiện đã đầy,"Thẻ Sự Kiện đang mang đã đầy, nên...",SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc bằng で; câu còn nối tiếp"
SLPS_020.75,0x33d0,もう持ち切れないよ,Không thể mang thêm,Bạn không thể mang thêm nữa.,SOURCE_REVIEWED,"Thông báo sức chứa"
SLPS_020.75,0x33e4,どれを捨てる？,Bỏ thẻ nào?,Bạn muốn bỏ lá nào?,SOURCE_REVIEWED,"Prompt quản lý bài"
SLPS_020.75,0x33f4,「%s」を捨てて,,Bỏ “%s”.,SOURCE_REVIEWED,"Giữ nguyên token %s"
SLPS_020.75,0x3404,「%s」をあきらめたよ,Từ bỏ %s,Bạn đã từ bỏ “%s”.,SOURCE_REVIEWED,"Giữ nguyên token %s"
SLPS_020.75,0x3758,あいての体力,HP đối thủ,HP Đối Thủ,SOURCE_REVIEWED,"Nhãn chiến đấu"
SLPS_020.75,0x378c,キャンセル,Hủy,Hủy,SOURCE_REVIEWED,"Nhãn UI"
SLPS_020.75,0x37bc,本当にやめるの？,Thật sự muốn dừng?,Bạn thật sự muốn dừng chứ?,SOURCE_REVIEWED,"Prompt xác nhận"
SLPS_020.75,0x37d0,お金が足りないけど,Không đủ tiền,"Bạn không đủ tiền, nhưng...",SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc bằng けど; giữ fragment"
SLPS_020.75,0x37e4,何か売っちゃう ？,Bán thứ gì đó?,Bạn muốn bán thứ gì đó chứ?,SOURCE_REVIEWED,"Prompt xử lý thiếu tiền"
SLPS_020.75,0x380c,総資産を見たけど ,Đã xem tổng tài sản,"Đã xem tổng tài sản rồi, nhưng...",SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc bằng けど"
SLPS_020.75,0x3820,これじゃたりないわよ,Vẫn không đủ,Thế này vẫn chưa đủ đâu.,SOURCE_REVIEWED,"Thông báo thiếu tiền"
SLPS_020.75,0x3838,まだお金が足りないけど,Vẫn thiếu tiền,"Bạn vẫn còn thiếu tiền, nhưng...",SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc bằng けど"
SLPS_020.75,0x3850,総資産を見たけど,Đã xem tổng tài sản,"Đã xem tổng tài sản rồi, nhưng...",SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc bằng けど"
SLPS_020.75,0x3864,も～何やってるの？,"Này, đang làm gì vậy?",Trời ơi, bạn đang làm gì vậy?,SOURCE_REVIEWED,"Giọng càu nhàu"
SLPS_020.75,0x3878,早く決めてよね！！,Quyết định nhanh lên!!,Quyết định nhanh lên nào!!,SOURCE_REVIEWED,"Giọng thúc giục"
SLPS_020.75,0x388c,もうっ！,Trời ơi!,Thật tình!,SOURCE_REVIEWED,"Thán từ bực mình"
SLPS_020.75,0x3898,早く決めてってばぁ～,Nhanh quyết định đi!,Đã bảo quyết định nhanh lên mà～!,SOURCE_REVIEWED,"Giọng thúc giục kéo dài"
SLPS_020.75,0x7679c,氷の弓,Cung băng,Cung Băng,SOURCE_REVIEWED,"Tên vũ khí"
SLPS_020.75,0x767a4,丸薬,Thuốc viên,Thuốc Viên,SOURCE_REVIEWED,"Tên vật phẩm"
SLPS_020.75,0x767ac,ダーツ,Phi tiêu,Phi Tiêu,SOURCE_REVIEWED,"Tên vũ khí"
SLPS_020.75,0x767b4,如意棒,Như Ý Bổng,Như Ý Bổng,SOURCE_REVIEWED,"Tên riêng/vũ khí"
SLPS_020.75,0x767c4,クナイ,Kunai,Kunai,SOURCE_REVIEWED,"Tên vũ khí"
SLPS_020.75,0x767cc,野太刀,Nodachi,Nodachi,SOURCE_REVIEWED,"Tên vũ khí"
SLPS_020.75,0x767d4,メイス,Chùy,Chùy,SOURCE_REVIEWED,"Tên vũ khí"
SLPS_020.75,0x767e0,支援系,Hỗ trợ,Hệ Hỗ Trợ,SOURCE_REVIEWED,"Nhãn phân loại"
SLPS_020.75,0x767e8,回復系,Hồi phục,Hệ Hồi Phục,SOURCE_REVIEWED,"Nhãn phân loại"
SLPS_020.75,0x767f0,無属性,Vô thuộc tính,Vô Thuộc Tính,SOURCE_REVIEWED,"Nhãn phân loại"
SLPS_020.75,0x767fc,投射,Tầm xa,Phóng,SOURCE_REVIEWED,"投射 = dạng phóng/projectile; không tự mở rộng thành khoảng cách"
SLPS_020.75,0x76804,魔法,Phép,Ma Pháp,SOURCE_REVIEWED,"Nhãn phân loại"
SLPS_020.75,0x7681c,ダンテ,Dante,Dante,SOURCE_REVIEWED,"Tên riêng"
SLPS_020.75,0x76824,孫悟空,Tôn Ngộ Không,Tôn Ngộ Không,SOURCE_REVIEWED,"Tên riêng"
SLPS_020.75,0x7682c,ハヤテ,Hayate,Hayate,SOURCE_REVIEWED,"Tên riêng"
SLPS_020.75,0x76834,ジガー,Jigger,Jigger,SOURCE_REVIEWED,"Tên riêng"
SLPS_020.75,0x7683c,騎士団,Hiệp sĩ đoàn,Đoàn Kỵ Sĩ,SOURCE_REVIEWED,"Tên tổ chức"
SLPS_020.75,0x76844,修道会,Tu viện,Tu Viện,SOURCE_REVIEWED,"Giữ glossary gameplay"
SLPS_020.75,0x7684c,病院,Bệnh viện,Bệnh Viện,SOURCE_REVIEWED,"Tên cơ sở"
SLPS_020.75,0x76854,武器屋,Tiệm vũ khí,Tiệm Vũ Khí,SOURCE_REVIEWED,"Tên cửa hàng"
SLPS_020.75,0x7685c,バンク,Ngân hàng,Ngân Hàng,SOURCE_REVIEWED,"Tên cơ sở"
SLPS_020.75,0x76868,%sの,của %s,của %s...,SOURCE_REVIEWED_FRAGMENT,"Mảnh sở hữu; giữ token %s"
SLPS_020.75,0x76870,%sね,%s nhé,%s nhé.,SOURCE_REVIEWED,"Giữ token %s"
SLPS_020.75,0x768d0,軍資金,Quân quỹ,Quân Quỹ,SOURCE_REVIEWED,"Nhãn tiền/vốn"
SLPS_020.75,0x768d8,資金額,Số vốn,Số Vốn,SOURCE_REVIEWED,"Nhãn tiền/vốn"
SLPS_020.75,0x7690c,%sは,%s thì,%s thì...,SOURCE_REVIEWED_FRAGMENT,"Mảnh chủ đề; giữ token %s"
