japanese,vi_full,vi_runtime_historical,status,note
%sさんのものになるよ,...sẽ thuộc về %s.,Thuộc về %s,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu; giữ token %s"
次の武器カードをもらったよ,Bạn nhận được Thẻ Vũ khí sau đây.,Nhận thẻ VK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Reward"
次のイベントカードをもらったよ,Bạn nhận được Thẻ Sự kiện sau đây.,Nhận thẻ SK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Reward"
手持ちの武器カードがいっぱいだよ,Số Thẻ Vũ khí đang mang đã đầy.,Túi VK đầy,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Inventory"
手持ちのイベントカードがいっぱいで,Số Thẻ Sự kiện đang mang đã đầy nên...,Túi SK đầy,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
なにか捨ててね,Hãy bỏ bớt một lá nhé.,Bỏ bớt 1 thẻ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Inventory prompt"
あきらめたよ,Đã bỏ cuộc.,Đã bỏ cuộc,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
レベル５裏武器カード,Thẻ Vũ khí Ẩn cấp 5,Thẻ VK ẩn Lv5,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card type"
レベル５表武器カード,Thẻ Vũ khí Ngửa cấp 5,Thẻ VK Lv5,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card type"
表武器カード,Thẻ Vũ khí Ngửa,Thẻ VK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Card type"
%sを売ったよ,Đã bán %s.,Bán %s,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %s"
もう１回行動できるよ！！,Bạn được hành động thêm một lần!!,Thêm 1 lượt!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay effect"
同じマスに止まってる人のお金を,Tiền của người đang đứng cùng ô...,Lấy vàng cùng ô,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
はんぶん盗めるよ！！,...có thể trộm một nửa!!,Trộm nửa!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu kết"
通行税なんかふみたおしちゃえ！！,Quỵt luôn phí qua đường!!,Quỵt lộ phí!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay effect"
シンボルを一つ壊せるよ,Có thể phá một Biểu tượng.,Phá 1 tượng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay effect"
ダイスの数が４コになるよ！！,Số xúc xắc sẽ tăng thành 4!!,4 xúc xắc!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ số 4"
神さまからのプレゼント！！,Quà từ Thần Linh!!,Thần ban!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event"
土地を１つもらえるよ！！,Bạn sẽ nhận được một mảnh đất!!,Nhận 1 đất!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event"
もらえるお金が倍になるよ！！,Số tiền nhận được sẽ tăng gấp đôi!!,Vàng x2!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Event"
お店破壊なんてガードしちゃえ！！,Chặn luôn vụ phá cửa hàng!!,Hộ tiệm!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay effect"
戦いをしかけるよ？,Thách đấu chứ?,Tỉ thí?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Prompt"
お金なんかふみたおしちゃえ！！,Quỵt luôn khoản tiền phải trả!!,Quỵt tiền!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay effect"
飛ばすぜ ！！,Ta cho bay luôn!!,Biến đi!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character dialogue"
なにぃ～い 通行税だと？,Cái gì～ phí qua đường á?,Lộ phí ư?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character dialogue"
何で わしが はらわにゃ ならんのだ！！,Sao ta lại phải trả chứ!!,Sao ta phải nộp!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character dialogue"
かぅぁ～もぉ～ん,Nào～ tới đây!,Nào!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Stylized exclamation"
あっなんか,"Ơ, hình như...","Ơ, xem ra",SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
多くもらっちゃった,...nhận được nhiều hơn rồi.,Nhận nhiều hơn,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
お金が 持ち切れないみたい,Có vẻ không thể mang hết số tiền này.,Túi vàng đầy,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
最大 99999までよ,Tối đa là 99999.,Tối đa 99999,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ số 99999"
聖地に 預けておいたから,Phần dư đã được gửi ở Thánh Địa rồi.,Đã gửi Thánh địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
聖地で 引き落としてね,Hãy rút ở Thánh Địa nhé.,Rút ở Thánh địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay"
我が けんぞくよ,Hỡi thuộc hạ của ta.,Thuộc hạ của ta,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character dialogue"
退け,Lùi ra!,Lui!,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character dialogue"
へへん,Hê hê.,Hê hê,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character reaction"
我に 近付くとは,Dám lại gần ta sao...,Dám lại gần ta,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character dialogue"
小賢しい,Khôn lỏi.,Xảo trá,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character insult"
ん？,Hử?,Hử?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Reaction"
いっちょう やってみっか,Làm một trận nhé?,Tỉ thí nào,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Character dialogue"
勝利者,Người Chiến Thắng,Kẻ thắng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Result label"
物件を決めたら、,"Khi đã chọn tài sản,","Chọn lãnh địa rồi,",SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
