file,offset_hex,japanese,vi_accented,field_bytes,vi_bytes,free_bytes,source,category
PRGPACK.BDP,0x67fd8,レベル５裏武器カード,VK ẩn LV5,20,18,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x67ff0,レベル５表武器カード,VK LV5,20,12,8,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68698,もう１回行動できるよ！！,Thêm lượt!!,24,22,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x686d4,はんぶん盗めるよ！！,Trộm 1/2!!,20,20,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68710,シンボルを一つ壊せるよ,Phá 1 biểu,22,20,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68764,土地を１つもらえるよ！！,Nhận 1 đất!!,24,24,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68780,もらえるお金が倍になるよ！！,Tiền nhận x2!!,28,28,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x687a0,お店破壊なんてガードしちゃえ！！,Chặn phá shop!!,32,30,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x687c4,ほかの人と同じマスに止まったよ,Trùng ô người,30,26,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x687e4,戦いをしかけるよ？,Đấu nhé?,18,16,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68888,飛ばすぜ ！！,Bay!!,13,10,3,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68898,なにぃ～い 通行税だと？,Phí à?,23,12,11,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x688ec,金斗雲,Mây,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68968,あっなんか,Ơ...,10,8,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68974,多くもらっちゃった,Nhận thêm,18,18,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68988,お金が 持ち切れないみたい,Tiền đầy,25,16,9,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x689a4,最大 99999までよ,TĐ99999,16,14,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x689b8,聖地に 預けておいたから,Gửi Thánh,23,18,5,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x689d0,聖地で 引き落としてね,Rút Thánh,21,18,3,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x689e8,(速い者順),(Tốc),10,10,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x689f4,我が けんぞくよ,Hạ ta,15,10,5,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68a28,我に 近付くとは,Dám gần,15,14,1,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68a4c,いっちょう やってみっか,Đấu nhé?,23,16,7,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68aa8,俺さまが遊んでやるぜ！,Ta chơi!,22,16,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68afc,悪いな%s,Xin%s,8,8,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68b20,%dゼニー,%d Z,8,6,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68bdc,この シンボルは,Biểu:,15,10,5,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68bf4,カスが,Rác,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68c08,なんか 気がのらん,Chán,17,8,9,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68c30,墓地,Mộ,4,4,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68cbc,通行税  %4d,Phí%4d,11,9,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68cc8,価値    %4d,Giá%4d,11,9,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68cd4,買えません,Không,10,10,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68ce0,します,Làm,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68d08,大不幸、不幸で,Do xui,14,12,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68d18,所得税、土地税,TN/TĐ,14,10,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68d44,止まると所持金,Tiền có,14,14,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68d64,の２０％を税金,Thuế20%,14,14,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68d74,止まると土地代,Đất,14,6,8,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68d90,ルートが切りか,Đổi,14,6,8,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68db8,を切りかえられ,Đổi,14,6,8,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68e08,止まるとミニゲ,Mini,14,8,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68e38,通過するとお金,Qua +$,14,12,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68e4c,もらえます,Nhận,10,8,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68e58,トカードが１枚,1 thẻ,14,10,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68e68,止まるとイベン,Sự kiện,14,14,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68e78,できます,Được,8,8,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68e84,しかけることが,Mở,14,4,10,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68e94,あいてに戦闘を,Đấu,14,6,8,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68ea4,止まると好きな,Tùy,14,6,8,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68eb8,所有者なし,Trống,10,10,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68edc,通行税 %4d,Phí%4d,10,9,1,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
PRGPACK.BDP,0x68ee8,通行税 %+3d％,Phí%+3d%,13,12,1,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x94c,ＧＯマス,Ô GO,8,8,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x13b0,封いんされた魔法,Phong ấn,16,16,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x13e0,ダークメテオ,Meteor,12,12,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x1408,伝説の聖剣,Kiếm,10,8,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x142c,エクスカリバー,Excal,14,10,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x1464,最強の魔法,Phép+,10,10,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x148c,メテオフォール,Meteor,14,12,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x149c,最強の弓,Cung,8,8,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x14c0,ほのおの弓,C.lửa,10,10,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x14cc,最強の魔剣,Ma,10,4,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x14f0,魔剣ムラマサ,Murama,12,12,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x1518,まどわしの玉,Ngọc,12,8,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x158c,アースクエイク,Đ.đất,14,10,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x15b4,ストームソード,K.bão,14,10,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x15e0,力の指輪,Lực,8,6,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x1628,フェザーレイ,Feath,12,10,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x1638,ダメージの１／２を奪う,Hút 1/2 DMG,22,22,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x1678,アイテムを使えなくする,Khóa đồ,22,14,8,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x16e8,スノーストーム,B.tuyết,14,14,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x16f8,速度が速い,Nhanh,10,10,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x171c,せつなの剣,Kiếm,10,8,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x1728,ダメージを１／２にへらす,Giảm 1/2 DMG,24,24,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x190c,ダメージ,Sát,8,6,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x1918,武器破壊,Phá,8,6,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x1970,ランダム武器破壊,Phá VK,16,12,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2014,大不幸,Xui,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2050,大幸運,May,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2064,盗賊の援助,Trộm+,10,10,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x208c,ＧＯマスおくり,Tới GO,14,12,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x20b4,大国の混乱,Loạn,10,8,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x20dc,小領主の協力,L.chúa,12,12,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2154,大国の援助,Viện+,10,10,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2168,領地購入,Mua,8,6,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x217c,魔王のこうりん,Ma tới,14,12,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2190,魔王しょうかん,Gọi ma,14,12,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x21b8,魔王の気まぐれ,Ma quậy,14,14,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2208,時の神のいたず,Thời,14,8,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x221c,運の神の休息,May,12,6,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2244,バトルカード,Thẻ,12,6,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x226c,邪神像,Tà,6,4,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2280,悪魔の塔,Ma,8,4,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2294,はかば,Mộ,6,4,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x22bc,女神像,Nữ,6,4,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x22e4,大聖堂,Đền,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x230c,呪いの沼,Đầm,8,6,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2320,死神像,Tử,6,4,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2334,ダイス３つ,3 xúc,10,10,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2348,ダイス４つ,4 xúc,10,10,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2580,れん金術,Giả,8,6,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2666,れん金術,Giả,8,6,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2858,やったー！！,Hay!!,12,10,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2868,このエリアはあなたのものよ！！,Khu của bạn!!,30,26,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2888,このエリアはあなたたちのものよ！！,Khu của các bạn!!,34,34,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x28d0,土地の持ち主が変わったよ,Đổi chủ đất,24,22,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x28ec,体力が０になったから、ちりょうひ,HP0 trả viện phí,32,32,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2910,２００ゼニーをもらうわよ！,Nhận 200Z!,26,20,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2c44,何がおこるのかな,Có gì?,16,12,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2cdc,「お店破壊」,「Phá」,12,10,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2db0,ダイスの数が４つになるよ,Xúc xắc x4,24,20,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2dec,ダイスの数が３つになるよ,Xúc xắc x3,24,20,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2e2c,まわりの通行税が３０％下がるよ！,Phí giảm30%,32,22,10,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2e84,１０％、まわりの通行税ダウン！,Phí giảm10%,30,22,8,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2edc,まわりの通行税が２倍になるよ！,Phí x2,30,12,18,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2f38,まわりの通行税が３倍になるよ！,Phí x3,30,12,18,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2f90,まわりの通行税が７０％上がるよ！,Phí tăng70%,32,22,10,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x2fe8,まわりの通行税が５０％上がるよ！,Phí tăng50%,32,22,10,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x3040,まわりの通行税が３０％上がるよ！,Phí tăng30%,32,22,10,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x3098,まわりの通行税が５０％下がるよ！,Phí giảm50%,32,22,10,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x30f4,まわりの通行税が７０％下がるよ！,Phí giảm70%,32,22,10,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x3150,まわりの通行税が９０％下がるよ！,Phí giảm90%,32,22,10,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x31c4,このカードを使うと、,Dùng thẻ:,20,18,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x31e8,戦闘をしかけることができるよ！,Thách đấu được!,30,30,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x3208,このカードを使えば、ライバルに,Dùng thẻ địch,30,26,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x3228,「バトルカード」,「Thẻ」,16,10,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x323c,土地マスを無効にできるよ,Vô hiệu đất,24,22,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x3258,１ターンのあいだ自分の番だけ、,1 lượt của bạn,30,28,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x3288,特殊マスが効かなくなっちゃう,Vô hiệu ô ĐB,28,24,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x32e0,を入れかえちゃう,Đổi chỗ,16,14,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x32f4,いたずら好きの時の神がみんなの場所,Thần TG đổi chỗ,34,30,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x3348,全ての分岐マスを切りかえて、,Đổi mọi rẽ,28,20,8,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x3368,「ルート変更」,「Đổi」,14,10,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x33d0,もう持ち切れないよ,Hết chỗ,18,14,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x33e4,どれを捨てる？,Bỏ gì?,14,12,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x3758,あいての体力,HPđịch,12,12,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x37bc,本当にやめるの？,Dừng?,16,10,6,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x37d0,お金が足りないけど,Thiếu $,18,14,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x3864,も～何やってるの？,Làm gì?,18,14,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x3878,早く決めてよね！！,Nhanh!!,18,14,4,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x388c,もうっ！,Ôi!,8,6,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x3898,早く決めてってばぁ～,Nhanh!,20,12,8,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x7679c,氷の弓,Ice,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x767ac,ダーツ,Phi,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x767b4,如意棒,Gậy,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x767cc,野太刀,Đao,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x767d4,メイス,Búa,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x767e8,回復系,Hồi,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x767f0,無属性,Vô,6,4,2,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x767fc,投射,Xa,4,4,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x76824,孫悟空,Ngộ,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
SLPS_020.75,0x768d0,軍資金,Quỹ,6,6,0,BATCH36_CURATED_COMPACT_0.6.46.0,batch36-curated-compact
