vi_game_current,vi_accented,category,note
LON HAY NHO HON?,Lớn hay nhỏ hơn?,global-fallback,Batch 3 global accent promotion
LUI RA,Lùi ra,global-fallback,Batch 3 global accent promotion
MA NGHICH,Ma nghịch,global-fallback,Batch 3 global accent promotion
MA PHA SHOP KHU,Ma phá shop khu,global-fallback,Batch 3 global accent promotion
MA VUONG,Ma vương,global-fallback,Batch 3 global accent promotion
MAT %d ZENNY,Mất %d Zenny,global-fallback,Batch 3 global accent promotion
MAY,May,global-fallback,Batch 3 global accent promotion
MOI 1 LUOT,Mỗi 1 lượt,global-fallback,Batch 3 global accent promotion
MUA DAT,Mua đất,global-fallback,Batch 3 global accent promotion
MUA DAT NAY,Mua đất này,global-fallback,Batch 3 global accent promotion
NGANHANG,Ngân hàng,global-fallback,Batch 3 extra expansion
NGHI ROI?,Nghỉ rồi?,global-fallback,Batch 3 global accent promotion
NGHIA,Nghĩa địa,global-fallback,Batch 3 global accent promotion
NGOKHONG,Ngộ Không,global-fallback,Batch 3 extra expansion
NHAN %d,Nhận %d,global-fallback,Batch 3 global accent promotion
NHAN %d THE VK,Nhận %d vũ khí,global-fallback,Batch 3 global accent promotion
NHAN %d ZENNY,Nhận %d Zenny,global-fallback,Batch 3 global accent promotion
NHAN %s,Nhận %s,global-fallback,Batch 3 global accent promotion
NHAN %s ROI,Nhận %s rồi,global-fallback,Batch 3 global accent promotion
NHAN 1 DAT!!,Nhận 1 đất!,global-fallback,Batch 3 global accent promotion
NHAN NHIEU HON,Nhận nhiều hơn,global-fallback,Batch 3 global accent promotion
NHAN O,Nhấn O,global-fallback,Batch 3 global accent promotion
NHAN QUY,Nhận quỹ,global-fallback,Batch 3 global accent promotion
NHAN THE SK,Nhận thẻ SK,global-fallback,Batch 3 global accent promotion
NHAN THE VK,Nhận thẻ VK,global-fallback,Batch 3 global accent promotion
NHAN200 ZENNY,Nhận200 Zenny,global-fallback,Batch 3 global accent promotion
NHUYBONG,Như Ý Bổng,global-fallback,Batch 3 global accent promotion
NU THAN,Nữ thần,global-fallback,Batch 3 global accent promotion
NU THAN BANG,Nữ thần băng,global-fallback,Batch 3 global accent promotion
O NGA RE,Ô ngã rẽ,global-fallback,Batch 3 global accent promotion
PHA 1 BIEUTUONG,Phá 1 tượng,global-fallback,Batch 3 global accent promotion
PHA BIEUTUONG,Phá biểu tượng,global-fallback,Batch 3 global accent promotion
PHA SHOP,Phá shop,global-fallback,Batch 3 global accent promotion
PHAP SU,Pháp sư,global-fallback,Batch 3 global accent promotion
PHAVK,Phá VK,global-fallback,Batch 3 extra expansion
PHEP,Phép,global-fallback,Batch 3 global accent promotion
PHI %+3d%,Phí %+3d%,global-fallback,Batch 3 global accent promotion
PHI %4d,Phí %4d,global-fallback,Batch 3 global accent promotion
PHI GIAM10%,Phí giảm10%,global-fallback,Batch 3 global accent promotion
PHI GIAM30%,Phí giảm30%,global-fallback,Batch 3 global accent promotion
PHI GIAM50%,Phí giảm50%,global-fallback,Batch 3 global accent promotion
PHI GIAM70%,Phí giảm70%,global-fallback,Batch 3 global accent promotion
PHI GIAM90%,Phí giảm90%,global-fallback,Batch 3 global accent promotion
PHI QD,Phí đường,global-fallback,Batch 3 global accent promotion
PHI QD HA?,Phí à?,global-fallback,Batch 3 global accent promotion
PHI TANG30%,Phí tăng30%,global-fallback,Batch 3 global accent promotion
PHI TANG50%,Phí tăng50%,global-fallback,Batch 3 global accent promotion
PHI TANG70%,Phí tăng70%,global-fallback,Batch 3 global accent promotion
PHI X2,Phí x2,global-fallback,Batch 3 global accent promotion
PHI X3,Phí x3,global-fallback,Batch 3 global accent promotion
PHITIEU,Phi tiêu,global-fallback,Batch 3 global accent promotion
QUA THAN!!,Quà thần!,global-fallback,Batch 3 global accent promotion
QUA: NHAN TIEN,Qua:nhận tiền,global-fallback,Batch 3 global accent promotion
QUAN!,Quán!,global-fallback,Batch 3 global accent promotion
QUANQUY,Quân quỹ,global-fallback,Batch 3 global accent promotion
QUY %5d,Quỹ %5d,global-fallback,Batch 3 global accent promotion
QUYT,Quỵt,global-fallback,Batch 3 global accent promotion
QUYT PHI QD!!,Quỵt phí!,global-fallback,Batch 3 global accent promotion
QUYT TIEN!!,Quỵt tiền!,global-fallback,Batch 3 global accent promotion
RIUCHIEN,Rìu chiến,global-fallback,Batch 3 extra expansion
RUNG,Rung,global-fallback,Batch 3 global accent promotion
RUT O THANH DIA,Rút Thánh địa,global-fallback,Batch 3 global accent promotion
SAO TA PHAI TRA!!,Sao ta phải trả!,global-fallback,Batch 3 global accent promotion
SE,Sẽ,global-fallback,Batch 3 global accent promotion
SE NHAN,Sẽ nhận,global-fallback,Batch 3 global accent promotion
SE PHA,Sẽ phá,global-fallback,Batch 3 global accent promotion
SET,Sét,global-fallback,Batch 3 global accent promotion
SIEUTOC!,Siêu tốc!,global-fallback,Batch 3 global accent promotion
SO MA,Sợ ma,global-fallback,Batch 3 global accent promotion
SU GIA,Sứ giả,global-fallback,Batch 3 global accent promotion
SUOI,Suối,global-fallback,Batch 3 global accent promotion
TA THAN,Tà thần,global-fallback,Batch 3 global accent promotion
TAMXA,Tầm xa,global-fallback,Batch 3 global accent promotion
TANGTOC!,Tăng tốc!,global-fallback,Batch 3 global accent promotion
THACH DAU?,Thách đấu?,global-fallback,Batch 3 global accent promotion
THAN GIO,Thần giờ,global-fallback,Batch 3 global accent promotion
THAN GIO DOI CHO,Thần giờ đổi chỗ,global-fallback,Batch 3 global accent promotion
THAN MAY,Thần may,global-fallback,Batch 3 global accent promotion
THANG,Thắng,global-fallback,Batch 3 global accent promotion
THANH DIA,Thánh địa,global-fallback,Batch 3 extra expansion
THANHDUONG,Thánh đường,global-fallback,Batch 3 global accent promotion
THAP MA,Tháp ma,global-fallback,Batch 3 global accent promotion
THAU TOM,Thâu tóm,global-fallback,Batch 3 global accent promotion
THAY XUCXAC,Thay xúc xắc,global-fallback,Batch 3 global accent promotion
THE DAU,Thẻ đấu,global-fallback,Batch 3 global accent promotion
THE SK,Thẻ SK,global-fallback,Batch 3 global accent promotion
THE SK DA DAY,Thẻ SK đầy,global-fallback,Batch 3 global accent promotion
THE VK,Vũ khí,global-fallback,Batch 3 global accent promotion
THE VK AN LV5,Thẻ ẩn LV5,global-fallback,Batch 3 global accent promotion
THE VK DA DAY,Thẻ VK đầy,global-fallback,Batch 3 global accent promotion
THE VK LV5,Thẻ VK LV5,global-fallback,Batch 3 global accent promotion
THE VK/SK,Thẻ VK/SK,global-fallback,Batch 3 extra expansion
THEM 1 LUOT!!,Thêm 1 lượt!,global-fallback,Batch 3 global accent promotion
THIEU TIEN,Thiếu tiền,global-fallback,Batch 3 global accent promotion
THIEU TIEN!,Thiếu tiền!,global-fallback,Batch 3 global accent promotion
THIEU:%d Z,Thiếu:%d Z,global-fallback,Batch 3 global accent promotion
THOAI,Thoại,global-fallback,Batch 3 global accent promotion
THUE DAT,Thuế đất,global-fallback,Batch 3 global accent promotion
THUE TN,Thuế TN,global-fallback,Batch 3 global accent promotion
THUE TN/DAT,Thuế TN/đất,global-fallback,Batch 3 extra expansion
THUOC,Thuốc,global-fallback,Batch 3 global accent promotion
THUOC %s,Thuộc %s,global-fallback,Batch 3 global accent promotion
THUOC HA TA,Thuộc hạ ta,global-fallback,Batch 3 global accent promotion
THUONG DAU,Quà đầu,global-fallback,Batch 3 global accent promotion
THUONG TIEP,Quà tiếp,global-fallback,Batch 3 global accent promotion
TIEMVK,Tiệm VK,global-fallback,Batch 3 global accent promotion
TIEN 1 O,Tiến 1 ô,global-fallback,Batch 3 global accent promotion
TIEN 2 O,Tiến 2 ô,global-fallback,Batch 3 global accent promotion
TIEN 3 O,Tiến 3 ô,global-fallback,Batch 3 global accent promotion
TIEN 4 O,Tiến 4 ô,global-fallback,Batch 3 global accent promotion
TIEN 5 O,Tiến 5 ô,global-fallback,Batch 3 global accent promotion
TIEN 6 O,Tiến 6 ô,global-fallback,Batch 3 global accent promotion
TIEN NHAN X2!!,Tiền nhận x2!,global-fallback,Batch 3 global accent promotion
TIEN QUA NHIEU,Tiền quá nhiều,global-fallback,Batch 3 global accent promotion
TIEN TICH LUY,Tiền tích lũy,global-fallback,Batch 3 extra expansion
TIEN1,Tiến1,global-fallback,Batch 3 global accent promotion
TIEN2,Tiến2,global-fallback,Batch 3 global accent promotion
TIEN3,Tiến3,global-fallback,Batch 3 global accent promotion
TIEN4,Tiến4,global-fallback,Batch 3 global accent promotion
TIEN5,Tiến5,global-fallback,Batch 3 global accent promotion
TIEN6,Tiến6,global-fallback,Batch 3 global accent promotion
TIEU LC,Tiểu LC,global-fallback,Batch 3 global accent promotion
TOC,Tốc,global-fallback,Batch 3 global accent promotion
TOCDO,Tốc độ,global-fallback,Batch 3 extra expansion
TOI DA 99999,Tối đa 99999,global-fallback,Batch 3 global accent promotion
TONG TS,Tổng TS,global-fallback,Batch 3 global accent promotion
TRA,Trả,global-fallback,Batch 3 extra expansion
TRA %d ZENNY,Trả %d Zenny,global-fallback,Batch 3 global accent promotion
TROI!,Trời!,global-fallback,Batch 3 global accent promotion
TROM 1/2!!,Trộm 1/2!,global-fallback,Batch 3 global accent promotion
TRUNG O NGUOI,Trùng ô người,global-fallback,Batch 3 global accent promotion
TS+THE %s,TS+thẻ %s,global-fallback,Batch 3 global accent promotion
TU THAN,Tử thần,global-fallback,Batch 3 global accent promotion
TUVIEN,Tu viện,global-fallback,Batch 3 global accent promotion
TUVIEN NGAN DAU,Tu viện cản đấu,global-fallback,Batch 3 global accent promotion
TUYET!!,Tuyệt!!,global-fallback,Batch 3 global accent promotion
VAN THIEU,Vẫn thiếu,global-fallback,Batch 3 global accent promotion
VIEN TRO,Viện trợ,global-fallback,Batch 3 global accent promotion
VKCB,VK cơ bản,global-fallback,Batch 3 extra expansion
VO CHU,Vô chủ,global-fallback,Batch 3 global accent promotion
VO HIEU O DAT,Vô hiệu ô đất,global-fallback,Batch 3 global accent promotion
VO HIEU O DB,Vô hiệu ô ĐB,global-fallback,Batch 3 global accent promotion
VON,Vốn,global-fallback,Batch 3 global accent promotion
VOTHUOC,Vô thuộc,global-fallback,Batch 3 global accent promotion
VUON,Vườn,global-fallback,Batch 3 global accent promotion
WARP,Warp,global-fallback,Batch 3 global accent promotion
XAY %s,Xây %s,global-fallback,Batch 3 global accent promotion
XAY DAM LAY,Xây đầm lầy,global-fallback,Batch 3 global accent promotion
XAY NGHIA,Xây nghĩa địa,global-fallback,Batch 3 global accent promotion
XAY NU THAN,Xây Nữ thần,global-fallback,Batch 3 global accent promotion
XAY SUOI,Xây suối,global-fallback,Batch 3 global accent promotion
XAY TA THAN,Xây Tà thần,global-fallback,Batch 3 global accent promotion
XAY THAP,Xây tháp,global-fallback,Batch 3 global accent promotion
XAY THDUONG,Xây thánh đường,global-fallback,Batch 3 global accent promotion
XAY TU THAN,Xây Tử thần,global-fallback,Batch 3 global accent promotion
XAY VUON,Xây vườn,global-fallback,Batch 3 global accent promotion
XAY XIEC,Xây xiếc,global-fallback,Batch 3 global accent promotion
XIEC,Xiếc,global-fallback,Batch 3 global accent promotion
XUCXAC X3,Xúc xắc x3,global-fallback,Batch 3 global accent promotion
XUCXAC X4,Xúc xắc x4,global-fallback,Batch 3 global accent promotion
XUI,Xui,global-fallback,Batch 3 global accent promotion
XUI QUA,Xui quá,global-fallback,Batch 3 global accent promotion
