japanese,vi_full,vi_runtime_historical,status,note
自分が止まるか、通過,"Khi bạn dừng lại hoặc đi qua,",Khi dừng hoặc đi qua,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Mảnh câu"
やめる,Hủy,Hủy,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Command"
価格,Giá,Giá,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"UI label"
お店,Cửa Hàng,Tiệm,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"UI label"
資金,Vốn,Ngân quỹ,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"UI label"
どのお店にする？,Chọn cửa hàng nào?,Chọn tiệm nào?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Prompt"
土地名,Tên Lãnh Địa,Tên lãnh địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"UI label"
どの土地にする？,Chọn mảnh đất nào?,Chọn lãnh địa?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Prompt"
合計金額,Tổng Số Tiền,Tổng vàng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"UI label"
物件,Tài Sản,Gia sản,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Property"
どの物件を売るの？,Bạn muốn bán tài sản nào?,Bán gia sản nào?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Prompt"
不足金額,Số Tiền Còn Thiếu,Số vàng thiếu,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"UI label"
どの土地をせめる？,Bạn muốn tấn công mảnh đất nào?,Đánh lãnh địa nào?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Prompt"
シンボル,Biểu Tượng,Thần tượng,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay term"
どれを壊すの？,Bạn muốn phá cái nào?,Phá thứ nào?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Prompt"
抵当額,Giá Trị Thế Chấp,Tiền thế chấp,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"UI label"
どこを戻すの？,Bạn muốn chuộc lại chỗ nào?,Chuộc nơi nào?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Prompt"
どの物件を売る？,Bán tài sản nào?,Bán gia sản nào?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Prompt"
エリア名,Tên Khu Vực,Tên lãnh địa,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"UI label"
どのエリアにする？,Chọn khu vực nào?,Chọn lãnh địa?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Prompt"
どこに建てる？,Bạn muốn xây ở đâu?,Dựng ở đâu?,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Prompt"
%sエリア,Khu vực %s,Lãnh địa %s,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ token %s"
%sエリア%s,Khu vực %s %s,Lãnh địa %s %s,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ hai token %s theo thứ tự"
ＯＫをえらんでね,Hãy chọn OK.,Chọn OK,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Prompt"
まわりの通行税が３０％下がるよ！,Phí qua đường xung quanh giảm 30%!,Lộ phí quanh -30%,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ 30%"
１０％、まわりの通行税ダウン！,Phí qua đường xung quanh giảm 10%!,Lộ phí quanh -10%,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ 10%"
まわりの通行税が２倍になるよ！,Phí qua đường xung quanh tăng gấp 2!,Lộ phí quanh x2,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ x2"
まわりの通行税が３倍になるよ！,Phí qua đường xung quanh tăng gấp 3!,Lộ phí quanh x3,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ x3"
まわりの通行税が７０％上がるよ！,Phí qua đường xung quanh tăng 70%!,Lộ phí quanh +70%,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ 70%"
まわりの通行税が５０％上がるよ！,Phí qua đường xung quanh tăng 50%!,Lộ phí quanh +50%,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ 50%"
まわりの通行税が３０％上がるよ！,Phí qua đường xung quanh tăng 30%!,Lộ phí quanh +30%,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ 30%"
まわりの通行税が５０％下がるよ！,Phí qua đường xung quanh giảm 50%!,Lộ phí quanh -50%,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ 50%"
まわりの通行税が７０％下がるよ！,Phí qua đường xung quanh giảm 70%!,Lộ phí quanh -70%,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ 70%"
まわりの通行税が９０％下がるよ！,Phí qua đường xung quanh giảm 90%!,Lộ phí quanh -90%,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Giữ 90%"
ルートを変えてあげる,Tôi sẽ đổi tuyến đường cho bạn.,Đổi lộ cho ngươi,SEMANTIC_SOURCE_FULL_TRANSLATED_ONLY,"Gameplay effect"
