file,offset_hex,japanese,vi_source_previous,vi_full_reviewed,status,note
PRGPACK.BDP,0x686b4,同じマスに止まってる人のお金を,Lấy tiền người cùng ô,Số tiền của người đang đứng cùng ô...,SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc bằng trợ từ を"
PRGPACK.BDP,0x686d4,はんぶん盗めるよ！！,Có thể trộm một nửa!!,...có thể trộm một nửa!!,SOURCE_REVIEWED_FRAGMENT,"Mảnh câu nối từ dòng trước"
PRGPACK.BDP,0x686ec,通行税なんかふみたおしちゃえ！！,Quỵt luôn phí qua đường!!,Quỵt luôn phí qua đường đi!!,SOURCE_REVIEWED,"Lời thoại/hiệu ứng"
PRGPACK.BDP,0x68710,シンボルを一つ壊せるよ,Phá được một biểu tượng,Bạn có thể phá một biểu tượng.,SOURCE_REVIEWED,"Mô tả hiệu ứng"
PRGPACK.BDP,0x68728,ダイスの数が４コになるよ！！,Có 4 xúc xắc!!,Bạn sẽ có 4 xúc xắc!!,SOURCE_REVIEWED,"Mô tả hiệu ứng"
PRGPACK.BDP,0x68748,神さまからのプレゼント！！,Quà từ thần linh!!,Quà từ Thần Linh!!,SOURCE_REVIEWED,"Tên/thông báo event"
PRGPACK.BDP,0x68764,土地を１つもらえるよ！！,Nhận một mảnh đất!!,Bạn nhận được một mảnh đất!!,SOURCE_REVIEWED,"Mô tả hiệu ứng"
PRGPACK.BDP,0x68780,もらえるお金が倍になるよ！！,Tiền nhận được tăng gấp đôi!!,Số tiền nhận được sẽ tăng gấp đôi!!,SOURCE_REVIEWED,"Mô tả hiệu ứng"
PRGPACK.BDP,0x687a0,お店破壊なんてガードしちゃえ！！,Chặn phá cửa hàng!!,Chặn luôn hiệu ứng Phá Cửa Hàng!!,SOURCE_REVIEWED,"Mô tả hiệu ứng"
PRGPACK.BDP,0x687c4,ほかの人と同じマスに止まったよ,Dừng cùng ô với người khác,Bạn đã dừng cùng ô với người khác.,SOURCE_REVIEWED,"Gameplay"
PRGPACK.BDP,0x687e4,戦いをしかけるよ？,Khiêu chiến chứ?,Muốn khiêu chiến chứ?,SOURCE_REVIEWED,"Prompt chiến đấu"
PRGPACK.BDP,0x687f8,お金なんかふみたおしちゃえ！！,Quỵt luôn tiền phải trả!!,Quỵt luôn khoản tiền phải trả đi!!,SOURCE_REVIEWED,"Lời thoại/hiệu ứng"
PRGPACK.BDP,0x68888,飛ばすぜ ！！,Bay đi!!,Ta cho bay đây!!,SOURCE_REVIEWED,"Lời thoại nhân vật"
PRGPACK.BDP,0x68898,なにぃ～い 通行税だと？,"Cái gì, phí qua đường à?","Cái gì～ Phí qua đường ư?",SOURCE_REVIEWED,"Lời thoại nhân vật"
PRGPACK.BDP,0x688b0,何で わしが はらわにゃ ならんのだ！！,Sao ta phải trả chứ!!,Tại sao ta lại phải trả chứ!!,SOURCE_REVIEWED,"Lời thoại nhân vật"
PRGPACK.BDP,0x688d8,かぅぁ～もぉ～ん,Come on!,Come on～!,SOURCE_REVIEWED,"Câu cảm thán phiên âm tiếng Anh trong nguồn"
PRGPACK.BDP,0x688ec,金斗雲,Cân Đẩu Vân,Cân Đẩu Vân,SOURCE_REVIEWED,"Tên riêng"
PRGPACK.BDP,0x68968,あっなんか,"Ơ, hình như","Ơ, hình như...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu"
PRGPACK.BDP,0x68974,多くもらっちゃった,nhận được nhiều hơn,...nhận được nhiều hơn rồi.,SOURCE_REVIEWED_FRAGMENT,"Mảnh câu nối"
PRGPACK.BDP,0x68988,お金が 持ち切れないみたい,Có vẻ không mang hết tiền,Có vẻ bạn không thể mang thêm tiền nữa.,SOURCE_REVIEWED,"Thông báo giới hạn tiền"
PRGPACK.BDP,0x689a4,最大 99999までよ,Tối đa 99999,Tối đa là 99999.,SOURCE_REVIEWED,"Giữ giới hạn số"
PRGPACK.BDP,0x689b8,聖地に 預けておいたから,Đã gửi phần dư ở Thánh địa,"Phần dư đã được gửi ở Thánh địa, nên...",SOURCE_REVIEWED_FRAGMENT,"Nguồn kết thúc bằng から"
PRGPACK.BDP,0x689d0,聖地で 引き落としてね,Hãy rút ở Thánh địa,Hãy rút tiền tại Thánh địa nhé.,SOURCE_REVIEWED,"Thông báo gameplay"
PRGPACK.BDP,0x689e8,(速い者順),(Theo thứ tự nhanh),(Theo thứ tự từ người nhanh nhất),SOURCE_REVIEWED,"速い者順 = xếp theo tốc độ"
PRGPACK.BDP,0x689f4,我が けんぞくよ,Thuộc hạ của ta,Hỡi thuộc hạ của ta.,SOURCE_REVIEWED,"Lời thoại nhân vật"
PRGPACK.BDP,0x68a04,退け,Lùi ra,Lui ra!,SOURCE_REVIEWED,"Mệnh lệnh"
PRGPACK.BDP,0x68a0c,へへん,Hê hê,Hê hê!,SOURCE_REVIEWED,"Thán từ"
PRGPACK.BDP,0x68a28,我に 近付くとは,Dám lại gần ta,Dám lại gần ta...,SOURCE_REVIEWED_FRAGMENT,"Câu dẫn sang lời khinh miệt"
PRGPACK.BDP,0x68a38,小賢しい,Láu cá,Thật láu cá.,SOURCE_REVIEWED,"Lời khinh miệt"
PRGPACK.BDP,0x68a44,ん？,Hử?,Hử?,SOURCE_REVIEWED,"Thán từ"
PRGPACK.BDP,0x68a4c,いっちょう やってみっか,Làm một trận nhé,Làm một trận chứ?,SOURCE_REVIEWED,"Lời thách đấu"
PRGPACK.BDP,0x68a64,勝利者,Kẻ chiến thắng,Người Chiến Thắng,SOURCE_REVIEWED,"Nhãn kết quả"
PRGPACK.BDP,0x68aa8,俺さまが遊んでやるぜ！,Ta sẽ chơi với ngươi!,Để ta chơi với ngươi!,SOURCE_REVIEWED,"Giọng khoe khoang"
PRGPACK.BDP,0x68ae4,%sのラッキー！！,%s gặp may!!,%s gặp may!!,SOURCE_REVIEWED,"Giữ token %s"
PRGPACK.BDP,0x68afc,悪いな%s,Xin lỗi nhé %s,"Xin lỗi nhé, %s.",SOURCE_REVIEWED,"Giữ token %s"
PRGPACK.BDP,0x68b08,%dゼニーもらってゆくぜ,Ta lấy %d Zenny đây,Ta lấy %d Zenny đây!,SOURCE_REVIEWED,"Giữ token %d"
PRGPACK.BDP,0x68b20,%dゼニー,%d Zenny,%d Zenny,SOURCE_REVIEWED,"Giữ token %d"
PRGPACK.BDP,0x68b2c,%sは,%s,%s thì...,SOURCE_REVIEWED_FRAGMENT,"Mảnh chủ đề; giữ token %s"
PRGPACK.BDP,0x68b9c,は～はっは 破壊じゃ 破壊じゃ,"Ha ha, phá hủy nào!",Ha～ ha ha! Phá hủy! Phá hủy!,SOURCE_REVIEWED,"Lời thoại nhân vật"
PRGPACK.BDP,0x68bbc,どれを 破壊してくれようぞ！！,Phá cái nào đây!!,Ta sẽ phá cái nào đây!!,SOURCE_REVIEWED,"Lời thoại nhân vật"
PRGPACK.BDP,0x68bdc,この シンボルは,Biểu tượng này,Biểu tượng này...,SOURCE_REVIEWED_FRAGMENT,"Mảnh câu"
PRGPACK.BDP,0x68bec,ふっ,Hừ,Hừ.,SOURCE_REVIEWED,"Thán từ"
PRGPACK.BDP,0x68bf4,カスが ,Đồ rác rưởi,Đồ rác rưởi.,SOURCE_REVIEWED,"Lời miệt thị"
PRGPACK.BDP,0x68bfc,ぐぬぅ～,Grrr...,Gừừ～,SOURCE_REVIEWED,"Tiếng gầm bực tức"
PRGPACK.BDP,0x68c08,なんか 気がのらん,Ta không có hứng,Ta chẳng có hứng.,SOURCE_REVIEWED,"Lời thoại nhân vật"
PRGPACK.BDP,0x68c30,墓地,Nghĩa địa,Nghĩa Địa,SOURCE_REVIEWED,"Tên công trình"
PRGPACK.BDP,0x68c38,浴場,Nhà tắm,Nhà Tắm,SOURCE_REVIEWED,"Tên công trình"
PRGPACK.BDP,0x68ca4,施設    %s,Cơ sở %s,Công trình %s,SOURCE_REVIEWED,"Giữ token %s"
PRGPACK.BDP,0x68cb0,所有者  %s,Chủ sở hữu %s,Chủ sở hữu %s,SOURCE_REVIEWED,"Giữ token %s"
PRGPACK.BDP,0x68cbc,通行税  %4d,Phí qua đường %4d,Phí qua đường %4d,SOURCE_REVIEWED,"Giữ token %4d"
PRGPACK.BDP,0x68cc8,価値    %4d,Giá trị %4d,Giá trị %4d,SOURCE_REVIEWED,"Giữ token %4d"
PRGPACK.BDP,0x68cd4,買えません,Không mua được,Không thể mua.,SOURCE_REVIEWED,"Thông báo UI"
PRGPACK.BDP,0x68ce0,します,Thực hiện,Thực hiện.,SOURCE_REVIEWED,"Mục hành động độc lập; không suy diễn chủ ngữ"
PRGPACK.BDP,0x68ce8,どこかにワープ,Dịch chuyển đâu đó,Dịch chuyển đến một nơi nào đó.,SOURCE_REVIEWED,"どこか = một nơi nào đó; không mặc định là ngẫu nhiên"
PRGPACK.BDP,0x68cf8,たまったお金が,Tiền đã tích lũy,Số tiền đã tích lũy...,SOURCE_REVIEWED_FRAGMENT,"Mảnh câu"
PRGPACK.BDP,0x68d08,大不幸、不幸で,Do Đại bất hạnh/Bất hạnh,"Do Đại Bất Hạnh hoặc Bất Hạnh,...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu nguyên nhân"
PRGPACK.BDP,0x68d18,所得税、土地税,"Thuế thu nhập, thuế đất","Thuế Thu Nhập, Thuế Đất...",SOURCE_REVIEWED_FRAGMENT,"Mảnh liệt kê"
PRGPACK.BDP,0x68d28,らいます,sẽ nhận,...nhận được.,SOURCE_REVIEWED_FRAGMENT,"Nguồn bị cắt đầu từ; không đủ nghĩa độc lập"
PRGPACK.BDP,0x68d34,の２０％をしは,trả 20%,...trả 20% của...,SOURCE_REVIEWED_FRAGMENT,"Nguồn bị cắt giữa câu"
PRGPACK.BDP,0x68d44,止まると所持金,"khi dừng, tiền đang có","Khi dừng lại, số tiền đang có...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu"
PRGPACK.BDP,0x68d54,としてしはらい,được trả dưới dạng,...được trả dưới dạng...,SOURCE_REVIEWED_FRAGMENT,"Mảnh câu"
PRGPACK.BDP,0x68d64,の２０％を税金,20% thành thuế,...20% của... làm thuế...,SOURCE_REVIEWED_FRAGMENT,"Nguồn bị cắt giữa câu"
PRGPACK.BDP,0x68d74,止まると土地代,"khi dừng, giá đất","Khi dừng lại, giá đất...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu"
PRGPACK.BDP,0x68d84,わります,thay đổi,...thay đổi.,SOURCE_REVIEWED_FRAGMENT,"Nguồn bị cắt đầu từ"
PRGPACK.BDP,0x68d90,ルートが切りか,tuyến đường chuyển,Tuyến đường được chuyển...,SOURCE_REVIEWED_FRAGMENT,"Nguồn bị cắt giữa từ 切りか..."
PRGPACK.BDP,0x68da0,１ターンごとに,mỗi một lượt,Mỗi lượt...,SOURCE_REVIEWED_FRAGMENT,"Mảnh câu"
PRGPACK.BDP,0x68db0,ます,sẽ,…,SOURCE_REVIEWED_FRAGMENT,"Chỉ là hậu tố động từ lịch sự ます; không đủ nghĩa để dịch độc lập"
PRGPACK.BDP,0x68db8,を切りかえられ,có thể chuyển,...có thể chuyển đổi...,SOURCE_REVIEWED_FRAGMENT,"Mảnh câu"
PRGPACK.BDP,0x68dc8,止まるとルート,"khi dừng, tuyến đường","Khi dừng lại, tuyến đường...",SOURCE_REVIEWED_FRAGMENT,"Mảnh câu"
PRGPACK.BDP,0x68dd8,が手に入ります,sẽ nhận được,...sẽ nhận được.,SOURCE_REVIEWED_FRAGMENT,"Mảnh câu"
PRGPACK.BDP,0x68de8,てば武器カード,thẻ vũ khí,...Thẻ Vũ khí...,SOURCE_REVIEWED_FRAGMENT,"Nguồn bị cắt đầu từ/câu"
PRGPACK.BDP,0x68df8,ームができ、勝,"có thể chơi, nếu thắng","...có thể chơi, và nếu thắng...",SOURCE_REVIEWED_FRAGMENT,"Nguồn bị cắt đầu từ ミニゲーム"
PRGPACK.BDP,0x68e08,止まるとミニゲ,khi dừng có mini game,"Khi dừng lại, mini-game...",SOURCE_REVIEWED_FRAGMENT,"Nguồn bị cắt cuối từ ミニゲーム"
